SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y
0,0,-0.352,-0.352,-0.232,0,0,0,-0.232,0,-0.232,-0.232,0,-0.352,-0.431,-0.352,0,-0.352,0,-0.232
-0.181,-0.359,-0.181,-0.325,-0.181,-0.181,-0.181,-0.237,-0.389,-0.181,-0.181,-0.11,-0.181,-0.11,-0.181,-0.181,-0.181,-0.325,0,-0.181
-0.285,0,-0.415,0,-0.415,0,0,-0.285,0,0,0,-0.285,-0.285,0,-0.285,-0.488,0,0,0,-0.285
-0.26,0,-0.26,0,-0.26,-0.388,0,-0.26,0,-0.26,-0.26,0,-0.26,-0.26,-0.26,-0.388,-0.26,0,-0.26,0
-0.281,-0.411,-0.16,-0.326,-0.16,-0.381,-0.07,-0.119,-0.07,-0.255,0,-0.16,-0.304,-0.227,-0.255,-0.255,-0.119,-0.195,0,-0.07
-0.26,-0.26,-0.164,-0.164,-0.332,-0.332,-0.26,0,-0.164,-0.388,0,-0.26,-0.164,-0.164,0,-0.332,-0.164,-0.26,0,-0.164
0,0,-0.232,-0.53,0,-0.232,0,0,-0.232,-0.352,0,0,0,-0.232,-0.232,-0.431,0,0,-0.232,0
-0.228,-0.39,-0.141,-0.426,-0.141,-0.228,-0.228,-0.141,-0.141,-0.141,0,-0.228,-0.228,-0.141,-0.228,-0.228,-0.294,-0.228,0,-0.141
-0.141,0,-0.39,-0.347,-0.141,0,0,-0.141,-0.141,-0.39,-0.141,0,-0.228,-0.347,-0.347,-0.228,-0.141,-0.294,0,-0.228
-0.224,0,-0.342,-0.224,0,-0.507,0,0,-0.473,-0.224,0,-0.224,-0.342,0,-0.342,0,0,0,0,0
-0.299,0,-0.375,-0.375,-0.375,-0.191,0,-0.191,-0.299,0,-0.191,-0.299,0,-0.191,-0.191,0,-0.299,-0.299,0,0
0,0,0,-0.314,-0.314,-0.447,0,-0.314,-0.314,-0.314,0,0,-0.447,0,0,-0.314,0,-0.314,0,0
-0.437,0,-0.437,-0.168,-0.266,0,0,0,-0.168,-0.339,-0.168,-0.339,-0.266,-0.339,0,0,-0.168,-0.266,0,0
0,0,-0.209,-0.209,-0.323,0,0,-0.323,-0.209,0,0,-0.401,-0.493,-0.209,-0.401,-0.209,0,0,0,-0.209
-0.31,0,-0.26,-0.332,-0.2,-0.2,0,0,-0.26,-0.431,-0.072,-0.2,-0.287,-0.232,-0.352,-0.26,-0.122,0,-0.122,-0.072
-0.339,0,-0.266,0,0,-0.394,-0.339,0,-0.168,-0.437,0,-0.339,-0.168,0,-0.168,-0.266,-0.168,-0.168,-0.168,-0.168
0,0,0,-0.25,-0.25,-0.453,0,0,0,-0.25,0,-0.25,-0.25,0,-0.25,-0.375,-0.375,-0.25,-0.25,-0.25
-0.401,0,-0.401,0,-0.272,-0.272,0,-0.272,-0.272,-0.272,0,0,-0.401,0,-0.272,-0.272,0,0,-0.272,0
-0.314,0,-0.314,-0.203,-0.203,-0.203,0,-0.203,-0.203,0,0,-0.203,0,-0.392,-0.314,-0.392,-0.392,0,0,-0.203
-0.447,0,-0.314,0,-0.447,-0.314,0,0,0,0,-0.447,-0.314,0,0,-0.314,-0.314,0,0,0,0
-0.332,0,0,0,-0.216,-0.216,-0.216,0,0,-0.411,0,0,-0.332,0,-0.464,-0.332,-0.411,-0.216,0,0
-0.453,0,0,0,-0.25,-0.5,0,0,0,-0.25,-0.25,-0.25,-0.25,0,-0.25,-0.25,-0.25,0,-0.25,0
0,-0.232,-0.144,0,-0.299,-0.431,0,-0.232,-0.396,-0.232,-0.144,-0.352,0,0,-0.232,-0.396,-0.232,0,-0.144,0
-0.411,0,-0.411,-0.464,0,-0.216,0,-0.216,0,-0.216,0,0,-0.332,-0.216,-0.332,0,-0.216,-0.216,0,0
-0.415,0,-0.285,-0.285,-0.415,-0.488,0,-0.285,0,-0.285,0,0,0,0,-0.285,-0.285,0,0,0,0
0,-0.342,0,0,-0.224,-0.224,-0.342,-0.224,-0.224,-0.224,-0.342,-0.342,0,0,0,-0.342,-0.342,-0.224,0,-0.224
-0.352,0,-0.144,-0.232,0,-0.232,-0.232,-0.144,-0.144,-0.144,0,-0.232,-0.396,-0.232,-0.299,-0.232,-0.144,-0.232,-0.144,-0.352
-0.342,0,-0.224,-0.342,-0.224,-0.224,0,0,-0.224,0,-0.224,-0.342,-0.224,0,-0.224,-0.342,-0.342,0,-0.224,-0.224
-0.144,-0.299,-0.299,-0.299,-0.327,-0.144,-0.086,-0.267,-0.267,-0.375,-0.086,-0.144,-0.144,-0.232,-0.232,-0.267,0,-0.144,0,-0.191
-0.228,0,-0.141,-0.294,-0.141,0,0,-0.294,-0.294,-0.294,-0.141,-0.294,-0.228,-0.228,-0.347,-0.294,-0.294,-0.228,-0.141,0
-0.193,0,-0.234,-0.301,-0.145,-0.355,-0.145,-0.234,-0.145,-0.27,-0.27,-0.145,-0.301,-0.193,-0.301,-0.234,-0.193,-0.193,-0.145,-0.087
-0.079,-0.216,-0.216,-0.216,-0.079,0,-0.133,-0.133,-0.133,-0.411,0,-0.216,-0.426,-0.28,-0.133,-0.44,-0.178,-0.178,-0.079,-0.133
-0.228,-0.294,0,0,-0.228,-0.294,-0.141,-0.228,0,-0.228,-0.141,-0.294,-0.294,-0.228,-0.294,-0.496,0,-0.141,0,0
