,Instability_index,y
Neg_364,49.68024691358024,0
Neg_2428,40.51095890410957,0
Neg_2873,46.36249999999999,0
Neg_2762,48.02878787878787,0
Neg_1932,75.4390243902439,0
Neg_218,15.535,0
Neg_1471,12.897101449275365,0
Neg_211,57.30624999999999,0
Neg_88,72.51875,0
Neg_1800,9.176315789473684,0
Neg_1995,10.068421052631576,0
Neg_2231,57.71014492753624,0
Neg_1090,48.1529411764706,0
Neg_1457,62.422,0
Neg_795,30.640400000000007,0
Neg_1614,27.0061224489796,0
Neg_732,121.4064516129032,0
Neg_2025,68.18405797101448,0
Neg_2088,42.20731707317073,0
Neg_2527,49.75072289156624,0
Neg_2021,72.07230769230767,0
Neg_2570,40.35999999999999,0
Neg_215,30.364062500000003,0
Neg_2516,-1.309210526315789,0
Neg_1712,38.54371794871793,0
Neg_2010,58.58333333333333,0
Neg_1285,29.371428571428574,0
Neg_2834,39.7725,0
Neg_2013,47.83571428571428,0
Neg_945,17.35764705882353,0
Neg_1787,77.9032608695652,0
Neg_935,29.033333333333324,0
Neg_2099,87.36551724137931,0
Neg_2179,1.3727272727272726,0
Neg_2726,23.590909090909093,0
Neg_1484,38.45942028985508,0
Neg_2381,54.06941176470587,0
Neg_1458,81.12923076923076,0
Neg_216,29.368055555555557,0
Neg_2725,61.91,0
Neg_406,77.73103448275862,0
Neg_1363,39.93846153846154,0
Neg_1311,44.64545454545454,0
Neg_1149,16.874999999999996,0
Neg_1218,1.4000000000000026,0
Neg_1597,46.35230769230768,0
Neg_2745,63.024999999999984,0
Neg_1477,39.91875,0
Neg_2803,70.69298245614033,0
Neg_104,34.358888888888885,0
Neg_1900,75.30657894736844,0
Neg_2586,37.73823529411765,0
Neg_2050,26.64929577464789,0
Neg_1069,84.4315789473684,0
Neg_336,103.72777777777776,0
Neg_2260,32.67469879518072,0
Neg_1733,78.5118333333333,0
Neg_1555,33.73846153846154,0
Neg_2329,39.56734693877551,0
Neg_1878,77.89285714285714,0
Neg_1893,48.54999999999999,0
Neg_1716,78.05057471264367,0
Neg_2322,49.68064516129033,0
Neg_101,57.14390243902439,0
Neg_16,54.07540983606555,0
Neg_31,11.834,0
Neg_240,86.34411764705882,0
Neg_1117,58.52622950819672,0
Neg_2262,67.14444444444445,0
Neg_2861,43.00499999999999,0
Neg_1225,39.51774193548386,0
Neg_261,59.64842105263156,0
Neg_609,37.364285714285714,0
Neg_1352,33.040222222222226,0
Neg_733,84.64761904761905,0
Neg_2593,46.59,0
Neg_2259,99.78,0
Neg_1785,68.97899999999998,0
Neg_847,11.80377358490566,0
Neg_684,48.21194029850744,0
Neg_1411,40.5709677419355,0
Neg_680,-1.2933333333333317,0
Neg_502,7.196666666666667,0
Neg_1097,29.378750000000004,0
Neg_1826,73.74523809523808,0
Neg_702,53.57558139534883,0
Neg_1626,32.53111111111112,0
Neg_2358,38.921,0
Neg_1026,34.346296296296295,0
Neg_82,53.739583333333336,0
Neg_509,39.425806451612914,0
Neg_1235,42.47142857142857,0
Neg_2118,54.73170731707316,0
Neg_1303,46.90579710144927,0
Neg_72,68.24615384615383,0
Neg_1147,29.056976744186045,0
Neg_2437,40.1112676056338,0
Neg_1770,33.69871428571428,0
Neg_177,66.48454545454544,0
Neg_978,98.89423076923076,0
Neg_724,55.165217391304346,0
Neg_1766,60.151282051282045,0
Neg_868,45.984375000000014,0
Neg_1825,44.00579710144928,0
Neg_2020,24.04406779661016,0
Neg_1628,51.57333333333333,0
Neg_892,38.904,0
Neg_2692,16.954545454545453,0
Neg_512,57.03529411764706,0
Neg_2128,55.39999999999999,0
Neg_1647,66.17931034482758,0
Neg_2419,26.19375,0
Neg_2659,36.4574074074074,0
Neg_1214,13.46315789473684,0
Neg_411,20.41358024691358,0
Neg_2321,62.97454545454545,0
Neg_1384,32.54090909090909,0
Neg_1489,33.550000000000004,0
Neg_2666,52.41428571428569,0
Neg_1905,68.03589743589743,0
Neg_55,36.47222222222223,0
Neg_1178,54.731343283582085,0
Neg_2369,67.22153846153846,0
Neg_1,61.16260416666666,0
Neg_1999,41.30526315789474,0
Neg_1883,45.01346153846154,0
Neg_1643,41.21470588235293,0
Neg_2885,122.225,0
Neg_1786,35.515625,0
Neg_1933,38.44782608695652,0
Neg_814,47.46206896551725,0
Neg_1593,32.7051724137931,0
Neg_1298,16.908080808080804,0
Neg_285,65.2174418604651,0
Neg_2792,25.56,0
Neg_2154,58.87282828282827,0
Neg_1689,61.03896103896103,0
Neg_603,30.68947368421053,0
Neg_1021,12.904761904761903,0
Neg_1820,33.86891891891892,0
Neg_222,90.8091954022988,0
Neg_256,8.222727272727274,0
Neg_704,25.868181818181817,0
Neg_144,32.19642857142856,0
Neg_2067,44.56363636363635,0
Neg_1406,105.25142857142856,0
Neg_2616,30.05697674418604,0
Neg_648,47.62027027027026,0
Neg_2774,53.28488372093022,0
Neg_292,23.163529411764703,0
Neg_2667,49.51717171717172,0
Neg_257,31.48305084745763,0
Neg_1768,63.95,0
Neg_2249,29.974747474747478,0
Neg_779,48.25802469135801,0
Neg_2513,38.66944444444445,0
Neg_2425,20.81011235955055,0
Neg_2272,45.35,0
Neg_361,50.40270270270268,0
Neg_1745,35.599999999999994,0
Neg_2902,39.57023809523809,0
Neg_808,13.293939393939391,0
Neg_407,55.36701030927833,0
Neg_191,40.86829268292683,0
Neg_1737,31.37608695652172,0
Neg_1001,-6.154545454545454,0
Neg_2120,37.41492537313432,0
Neg_960,25.53835616438356,0
Neg_1356,66.62035714285713,0
Neg_1764,104.15999999999998,0
Neg_901,37.26037735849057,0
Neg_2556,43.00810810810812,0
Neg_303,39.86784615384615,0
Neg_654,41.3646875,0
Neg_251,37.09180555555555,0
Neg_1958,53.284999999999975,0
Neg_2857,39.79310344827588,0
Neg_1824,71.08983050847455,0
Neg_9,83.37916666666666,0
Neg_1397,29.695396825396827,0
Neg_1841,60.04906976744185,0
Neg_1197,47.00824742268039,0
Neg_1357,33.98227848101265,0
Neg_2898,78.92,0
Neg_2132,8.32,0
Neg_647,40.99999999999999,0
Neg_2646,54.29166666666667,0
Neg_476,34.45,0
Neg_231,24.49354838709677,0
Neg_451,61.18870967741935,0
Neg_1073,49.10909090909091,0
Neg_7,22.725000000000005,0
Neg_1877,13.479166666666671,0
Neg_2912,56.70434782608696,0
Neg_1968,58.65636363636362,0
Neg_2590,91.03333333333332,0
Neg_2781,51.7676056338028,0
Neg_940,47.85000000000001,0
Neg_459,68.50854166666666,0
Neg_1657,73.66428571428571,0
Neg_2544,57.55967741935483,0
Neg_2345,35.51525423728813,0
Neg_2406,7.496491228070178,0
Neg_2060,44.77351063829786,0
Neg_2697,57.088888888888896,0
Neg_1979,49.381111111111096,0
Neg_875,11.06666666666667,0
Neg_798,54.05124999999999,0
Neg_2520,68.82898550724637,0
Neg_2252,26.6021875,0
Neg_1502,33.54166666666667,0
Neg_2316,32.52151898734178,0
Neg_2282,59.17676470588236,0
Neg_2664,40.980597014925365,0
Neg_1274,-0.6437500000000002,0
Neg_1290,21.831818181818186,0
Neg_299,51.12031249999998,0
Neg_2528,76.5372881355932,0
Neg_1387,55.09659090909091,0
Neg_13,57.90140845070422,0
Neg_586,47.04888888888887,0
Neg_1691,69.761,0
Neg_629,44.871428571428574,0
Neg_1089,25.42448717948717,0
Neg_2884,99.38,0
Neg_2610,28.532954545454537,0
Neg_470,70.84848484848486,0
Neg_1649,32.330769230769235,0
Neg_1177,61.254838709677415,0
Neg_2447,43.88214285714286,0
Neg_10,45.7764705882353,0
Neg_2623,26.773846153846147,0
Neg_265,59.70400000000001,0
Neg_273,36.8,0
Neg_2305,59.78076923076923,0
Neg_915,45.6695652173913,0
Neg_1945,32.60322580645161,0
Neg_961,67.71157894736842,0
Neg_2662,46.65394736842103,0
Neg_1146,34.19891304347826,0
Neg_1137,36.29767441860465,0
Neg_41,67.15866666666666,0
Neg_1496,26.625,0
Neg_2270,39.07021276595744,0
Neg_1721,94.51228070175436,0
Neg_2196,34.19444444444444,0
Neg_1988,56.94874999999999,0
Neg_2464,39.10727272727273,0
Neg_521,32.744166666666665,0
Neg_1062,17.023636363636367,0
Neg_899,116.0,0
Neg_374,32.324,0
Neg_2106,26.52253521126761,0
Neg_3,31.510744680851065,0
Neg_405,121.7777777777778,0
Neg_1873,102.188,0
Neg_2506,29.776923076923083,0
Neg_2777,38.6628205128205,0
Neg_762,-12.857894736842104,0
Neg_401,76.33636363636363,0
Neg_1801,107.425,0
Neg_2863,57.273333333333326,0
Neg_2412,44.07972972972973,0
Neg_1094,36.52247191011235,0
Neg_1795,36.580952380952375,0
Neg_1144,51.84761904761904,0
Neg_1201,21.82686567164179,0
Neg_2435,64.45769230769231,0
Neg_252,33.026777777777774,0
Neg_2676,32.48588235294118,0
Neg_322,48.0090909090909,0
Neg_1525,58.946590909090894,0
Neg_1228,36.932,0
Neg_2042,36.09384615384615,0
Neg_2308,68.60000000000001,0
Neg_2157,30.98717948717948,0
Neg_2159,78.5735294117647,0
Neg_2734,47.05068493150683,0
Neg_1207,61.42884615384615,0
Neg_120,46.13461538461539,0
Neg_2631,52.85573770491804,0
Neg_595,29.31707317073171,0
Neg_993,49.45,0
Neg_1596,38.525000000000006,0
Neg_2868,48.32266666666666,0
Neg_579,72.33999999999999,0
Neg_1663,75.01923076923077,0
Neg_1040,43.92450549450548,0
Neg_2240,26.81807228915662,0
Neg_2349,89.23578947368416,0
Neg_2207,40.60833333333333,0
Neg_1153,99.38260869565218,0
Neg_580,51.08,0
Neg_2390,50.64878048780488,0
Neg_1683,49.18510638297872,0
