,Eisenberg,y
Neg_2873,0.0370163748182476,0
Neg_2762,0.0968703628098298,0
Neg_1932,0.0820392081177822,0
Neg_218,0.1554496426671568,0
Neg_1471,0.0946240379780818,0
Neg_211,0.0987867289792544,0
Neg_88,0.1165241534241233,0
Neg_1800,0.0519370652656498,0
Neg_1995,0.0385022764259051,0
Neg_2231,0.2439172203669485,0
Neg_1090,0.1256037763081087,0
Neg_1457,0.1864626948236769,0
Neg_795,0.1118634844797765,0
Neg_1614,0.1210592795131334,0
Neg_732,0.0337224634690657,0
Neg_2025,0.1770578094679012,0
Neg_2088,0.1255254734252216,0
Neg_2527,0.1432020136478116,0
Neg_2021,0.0371066806992566,0
Neg_2570,0.1413046531064183,0
Neg_215,0.133793660121771,0
Neg_2516,0.0752521632820919,0
Neg_1712,0.0340866428302583,0
Neg_2010,0.0896385332359846,0
Neg_1285,0.2224336960458141,0
Neg_2834,0.0988570700196479,0
Neg_2013,0.1406373949955745,0
Neg_945,0.0541990575935611,0
Neg_1787,0.044207255549582,0
Neg_935,0.1639128954254079,0
Neg_2099,0.1289890453819962,0
Neg_2179,0.1585490392028781,0
Neg_2726,0.2567899147356641,0
Neg_1484,0.0308798315914542,0
Neg_2381,0.0968533401001069,0
Neg_1458,0.1044330398617043,0
Neg_216,0.2184678463690905,0
Neg_2725,0.2728402336949198,0
Neg_406,0.0102012850889826,0
Neg_1363,0.0584857611196271,0
Neg_1311,0.1328059560282513,0
Neg_1149,0.5335463182621935,0
Neg_1218,0.078401095042828,0
Neg_1597,0.1437335187278948,0
Neg_2745,0.0839445383583529,0
Neg_1477,0.1043782428109289,0
Neg_2803,0.2086298027783755,0
Neg_104,0.1683238606505387,0
Neg_1900,0.0948931538531219,0
Neg_2586,0.0563219699267543,0
Neg_2050,0.090402509318291,0
Neg_1069,0.5285632368306894,0
Neg_336,0.2022764401963025,0
Neg_2260,0.0857463503161061,0
Neg_1733,0.0825116065373678,0
Neg_1555,0.2627907846999447,0
Neg_2329,0.1911239368603502,0
Neg_1878,0.1934710709321032,0
Neg_1893,0.123773904500904,0
Neg_1716,0.090186717480359,0
Neg_2322,0.226019114606508,0
Neg_101,0.0790541829814458,0
Neg_16,0.223556454806904,0
Neg_31,0.1620046520480718,0
Neg_240,0.2872702821938245,0
Neg_1117,0.025537905918113,0
Neg_2262,0.1322892468348845,0
Neg_2861,0.1010149495899749,0
Neg_1225,0.1036410928404156,0
Neg_261,0.1189855355250211,0
Neg_609,0.152055687294909,0
Neg_1352,0.106055819717317,0
Neg_733,0.3358041201353041,0
Neg_2593,0.1688347709018265,0
Neg_2259,0.2206057487618025,0
Neg_1785,0.0836377542530263,0
Neg_847,0.121061645400124,0
Neg_684,0.0319425056376055,0
Neg_1411,0.0329220851610661,0
Neg_680,0.1035776320128216,0
Neg_502,0.0483934555865227,0
Neg_1097,0.1267684388411994,0
Neg_1826,0.0870749524059422,0
Neg_702,0.0219106949764819,0
Neg_1626,0.083378016696173,0
Neg_2358,0.1448393486582242,0
Neg_1026,0.1484904998895395,0
Neg_82,0.0465534282657216,0
Neg_509,0.0825028646130996,0
Neg_1235,0.0301103868978333,0
Neg_2118,0.1370358813181061,0
Neg_1303,0.0798282334071635,0
