,PAAC_Xc1.A,PAAC_Xc1.R,PAAC_Xc1.N,PAAC_Xc1.D,PAAC_Xc1.C,PAAC_Xc1.Q,PAAC_Xc1.E,PAAC_Xc1.G,PAAC_Xc1.H,PAAC_Xc1.I,PAAC_Xc1.L,PAAC_Xc1.K,PAAC_Xc1.M,PAAC_Xc1.F,PAAC_Xc1.P,PAAC_Xc1.S,PAAC_Xc1.T,PAAC_Xc1.W,PAAC_Xc1.Y,PAAC_Xc1.V,PAAC_Xc2.lambda1,PAAC_Xc2.lambda2,PAAC_Xc2.lambda3,y
Neg_966,1.672569437403306,0.836284718701653,0.0,0.836284718701653,0.836284718701653,0.0,2.508854156104959,5.853993030911571,0.836284718701653,1.672569437403306,4.181423593508265,0.0,0.0,1.672569437403306,5.017708312209918,3.345138874806612,5.017708312209918,0.0,0.0,3.345138874806612,0.0443099054459321,0.0555279702423803,0.0638774056100345,0
Neg_2081,8.516226195438323,6.9678214326313554,0.774202381403484,3.87101190701742,3.87101190701742,3.87101190701742,2.322607144210452,3.87101190701742,0.0,1.548404762806968,6.9678214326313554,0.774202381403484,0.0,2.322607144210452,6.9678214326313554,7.742023814034839,0.774202381403484,0.0,0.774202381403484,1.548404762806968,0.0733735915414983,0.0791980667158884,0.0732259603391292,0
Neg_2579,3.118618782888332,0.7796546957220829,1.5593093914441658,1.5593093914441658,1.5593093914441658,3.118618782888332,0.7796546957220829,3.118618782888332,0.7796546957220829,2.3389640871662487,3.8982734786104154,2.3389640871662487,0.0,0.7796546957220829,0.0,3.8982734786104154,0.7796546957220829,1.5593093914441658,0.0,4.677928174332497,0.0738649168000786,0.069808101147127,0.0766722863307113,0
Neg_542,5.375638755941157,9.983329118176435,0.7679483937058795,2.3038451811176386,0.0,6.911535543352916,9.983329118176435,1.535896787411759,0.0,3.071793574823518,6.143587149647036,3.071793574823518,0.0,0.0,6.911535543352916,4.607690362235277,1.535896787411759,0.7679483937058795,0.0,3.071793574823518,0.0719486918967114,0.0774142606131206,0.0826886537842882,0
Neg_270,3.04422850896504,6.08845701793008,0.0,4.56634276344756,2.28317138172378,3.04422850896504,3.8052856362063,0.76105712724126,4.56634276344756,3.8052856362063,6.08845701793008,1.52211425448252,0.76105712724126,3.8052856362063,0.76105712724126,5.327399890688819,1.52211425448252,0.0,2.28317138172378,2.28317138172378,0.0747476652087107,0.0911914251707662,0.073003782379263,0
Neg_447,1.455540414114016,2.911080828228032,0.727770207057008,0.727770207057008,0.0,1.455540414114016,2.911080828228032,0.0,0.0,0.727770207057008,2.183310621171024,0.0,0.0,0.0,0.0,0.727770207057008,0.0,0.0,0.0,1.455540414114016,0.0761384630819306,0.0993437896308753,0.096747540230186,0
Neg_2242,3.2624117505133343,2.4468088128850005,0.8156029376283336,2.4468088128850005,0.8156029376283336,0.8156029376283336,4.893617625770001,4.078014688141668,0.8156029376283336,5.709220563398335,7.340426438655002,1.6312058752566672,0.8156029376283336,3.2624117505133343,2.4468088128850005,4.893617625770001,0.8156029376283336,0.8156029376283336,0.8156029376283336,4.078014688141668,0.0628941849243858,0.0601617969763067,0.0613410804709737,0
Neg_1615,2.3422528075156688,1.5615018716771127,0.0,0.7807509358385564,0.7807509358385564,0.7807509358385564,0.0,0.7807509358385564,2.3422528075156688,0.7807509358385564,4.6845056150313376,1.5615018716771127,0.7807509358385564,0.7807509358385564,1.5615018716771127,1.5615018716771127,1.5615018716771127,0.0,0.0,0.7807509358385564,0.0596312368586927,0.0897235723324446,0.0698942549703063,0
Neg_103,0.7772026580492989,1.5544053160985978,0.0,0.0,3.886013290246494,1.5544053160985978,3.886013290246494,2.331607974147897,2.331607974147897,2.331607974147897,1.5544053160985978,6.217621264394391,0.0,0.0,1.5544053160985978,0.7772026580492989,2.331607974147897,0.0,0.7772026580492989,0.0,0.0740381275813213,0.07897698913355,0.0697822252358297,0
Neg_1048,3.670117379332102,2.2020704275992613,0.7340234758664204,2.2020704275992613,0.0,2.936093903465681,1.4680469517328407,1.4680469517328407,1.4680469517328407,1.4680469517328407,2.936093903465681,1.4680469517328407,0.7340234758664204,2.2020704275992613,0.7340234758664204,2.936093903465681,0.7340234758664204,0.7340234758664204,2.2020704275992613,0.7340234758664204,0.0781633045577682,0.0933819565325006,0.0944312630433108,0
Neg_628,1.4663709787433854,2.199556468115078,2.199556468115078,0.7331854893716927,0.0,0.0,0.7331854893716927,0.7331854893716927,0.7331854893716927,0.7331854893716927,2.199556468115078,0.7331854893716927,0.0,1.4663709787433854,0.7331854893716927,0.7331854893716927,0.7331854893716927,0.7331854893716927,0.0,1.4663709787433854,0.0779350961944294,0.0928514012253207,0.096028013208557,0
Neg_2169,3.117675152735886,1.558837576367943,1.558837576367943,0.7794187881839715,0.7794187881839715,0.0,1.558837576367943,2.3382563645519143,0.0,6.235350305471772,1.558837576367943,1.558837576367943,0.0,0.7794187881839715,3.897093940919857,0.7794187881839715,0.7794187881839715,0.0,1.558837576367943,4.676512729103829,0.069681150205532,0.0801517779756306,0.0707482836348659,0
Neg_599,6.333929079854469,6.333929079854469,1.5834822699636173,0.7917411349818086,3.958705674909044,0.7917411349818086,0.7917411349818086,2.375223404945426,3.958705674909044,0.7917411349818086,14.251340429672556,2.375223404945426,0.7917411349818086,3.1669645399272346,8.709152484799896,7.125670214836278,3.1669645399272346,1.5834822699636173,1.5834822699636173,2.375223404945426,0.0654298108604038,0.0711353464665735,0.0716937076912139,0
Neg_2490,2.9769476868152207,2.2327107651114155,0.0,0.0,1.4884738434076104,1.4884738434076104,2.2327107651114155,1.4884738434076104,0.0,0.0,2.2327107651114155,2.2327107651114155,0.0,0.0,1.4884738434076104,1.4884738434076104,0.0,0.7442369217038052,0.0,1.4884738434076104,0.0955398035305576,0.0815142274312731,0.078709047334364,0
Neg_62,6.074191467192493,4.555643600394369,1.5185478667981231,2.2778218001971844,0.7592739333990616,4.555643600394369,6.074191467192493,1.5185478667981231,1.5185478667981231,2.2778218001971844,6.074191467192493,2.2778218001971844,0.7592739333990616,0.7592739333990616,1.5185478667981231,6.833465400591554,0.7592739333990616,0.7592739333990616,3.796369666995308,6.833465400591554,0.0765115848962342,0.0866185870589415,0.0775958946457627,0
Neg_1129,0.0,6.058704699087572,0.7573380873859465,0.0,3.029352349543786,3.029352349543786,3.786690436929733,3.786690436929733,7.573380873859465,1.514676174771893,3.029352349543786,5.301366611701626,0.0,1.514676174771893,2.2720142621578394,5.301366611701626,4.544028524315679,0.7573380873859465,2.2720142621578394,3.029352349543786,0.0805605002218385,0.0855661276825951,0.0765352847096198,0
Neg_190,0.0,1.4588387769989906,0.0,0.0,0.0,0.0,1.4588387769989906,0.0,0.0,0.7294193884994953,0.0,0.7294193884994953,1.4588387769989906,0.0,1.4588387769989906,0.7294193884994953,0.0,0.0,0.0,1.4588387769989906,0.088388207774257,0.1194001978820801,0.0627922058441675,0
Neg_1522,7.581083975084921,5.306758782559444,0.0,1.516216795016984,0.758108397508492,2.274325192525476,4.548650385050952,9.097300770101905,3.032433590033968,0.0,12.887842757644364,1.516216795016984,0.0,0.0,3.032433590033968,0.758108397508492,0.0,0.0,0.0,3.032433590033968,0.0824771597998468,0.0713809877903413,0.0880334549013197,0
Neg_165,3.650094779433556,8.030208514753822,2.1900568676601333,2.9200758235468447,1.4600379117734223,2.9200758235468447,4.380113735320267,0.7300189558867112,0.7300189558867112,2.9200758235468447,3.650094779433556,4.380113735320267,0.7300189558867112,1.4600379117734223,0.7300189558867112,0.0,1.4600379117734223,0.7300189558867112,2.1900568676601333,2.1900568676601333,0.1033112204825046,0.0933113698230201,0.0733584538077641,0
Neg_1152,1.597557483530209,0.7987787417651045,0.0,1.597557483530209,0.0,0.0,0.7987787417651045,4.792672450590628,0.7987787417651045,2.3963362252953138,5.591451192355732,1.597557483530209,1.597557483530209,1.597557483530209,0.7987787417651045,1.597557483530209,1.597557483530209,2.3963362252953138,0.0,8.78656615941615,0.063709923549253,0.0723342188828791,0.0651771158027631,0
Neg_217,2.906371248741229,2.906371248741229,2.179778436555922,4.359556873111844,0.7265928121853074,0.7265928121853074,2.906371248741229,2.179778436555922,0.0,1.4531856243706147,2.179778436555922,0.7265928121853074,2.179778436555922,2.906371248741229,0.7265928121853074,2.179778436555922,0.7265928121853074,0.7265928121853074,0.0,2.179778436555922,0.0858216043421064,0.0981283507934871,0.089457232679099,0
Neg_1140,0.7853511638211264,1.5707023276422527,1.5707023276422527,0.7853511638211264,2.356053491463379,1.5707023276422527,2.356053491463379,1.5707023276422527,1.5707023276422527,1.5707023276422527,3.9267558191056313,2.356053491463379,0.7853511638211264,0.0,3.1414046552845054,3.9267558191056313,2.356053491463379,0.7853511638211264,0.7853511638211264,2.356053491463379,0.0526143602154497,0.0776262902579388,0.0844081857054851,0
Neg_2378,3.116401057507522,1.558200528753761,2.337300793130641,1.558200528753761,0.0,0.0,2.337300793130641,1.558200528753761,2.337300793130641,3.116401057507522,3.8955013218844026,2.337300793130641,0.7791002643768805,0.7791002643768805,2.337300793130641,1.558200528753761,0.7791002643768805,0.7791002643768805,0.0,3.8955013218844026,0.0764158802281598,0.0711504667364595,0.0733333886585,0
Neg_1569,2.3888777171602067,2.3888777171602067,2.3888777171602067,5.574048006707149,1.5925851447734711,1.5925851447734711,3.1851702895469423,3.1851702895469423,2.3888777171602067,0.7962925723867356,4.777755434320413,3.981462861933678,0.0,1.5925851447734711,3.1851702895469423,11.148096013414298,3.981462861933678,0.0,1.5925851447734711,9.555510868640829,0.0676726058305014,0.0600493570170694,0.0759854647656935,0
Neg_662,0.7272006507883233,0.7272006507883233,0.7272006507883233,1.4544013015766466,0.0,0.0,1.4544013015766466,3.636003253941616,2.1816019523649697,0.7272006507883233,1.4544013015766466,2.1816019523649697,0.0,0.7272006507883233,0.0,0.0,0.7272006507883233,0.7272006507883233,0.0,0.0,0.0903311098343842,0.0976882325728106,0.0847800068044818,0
Neg_688,2.2523815314531226,2.2523815314531226,3.00317537527083,2.2523815314531226,0.7507938438177075,1.501587687635415,4.504763062906245,0.0,0.7507938438177075,0.0,2.2523815314531226,6.00635075054166,0.0,3.753969219088537,3.753969219088537,0.7507938438177075,1.501587687635415,2.2523815314531226,2.2523815314531226,1.501587687635415,0.077205645069697,0.0836219774150374,0.088378533697558,0
