,Ez__1,Ez__2,Ez__3,Ez__4,Ez__5,Ez__6,Ez__7,Ez__8,Ez__9,Ez__10,Ez__11,Ez__12,Ez__13,Ez__14,Ez__15,Ez__16,Ez__17,Ez__18,Ez__19,Ez__20,Ez__21,Ez__22,Ez__23,Ez__24,Ez__25,Ez__26,Ez__27,Ez__28,Ez__29,Ez__30,y
Neg_2242,0.674081538461539,0.163321875,0.1714015873015873,0.1188870967741935,0.0459721311475409,1.0243123076923066,1.893498437499999,1.763531746031745,1.7230016129032253,1.93451475409836,-0.3147738461538462,0.8801609374999997,0.7443158730158725,0.7995645161290317,0.9770491803278688,210.62972769230765,201.4775718749999,203.17763174603164,203.52171935483867,201.1261606557377,93.54503230769234,88.87253437499999,90.70048253968255,90.784664516129,91.35961639344264,46.129990769230766,40.73352031249999,42.34405555555556,41.09854193548387,41.359332786885226,0
Neg_1615,0.70491,0.1988586206896552,-0.0488,0.1401074074074074,0.0948538461538461,1.9784899999999987,3.4851103448275853,4.370242857142857,3.5490999999999997,4.908134615384615,0.0320233333333331,0.9046103448275864,1.6843249999999996,1.5897074074074071,1.973142307692308,205.045,192.15100344827584,191.58128214285716,193.23795555555557,187.9403692307692,84.35507333333332,77.3017448275862,76.63438214285713,78.75560370370368,77.1725,38.39501666666668,32.64225517241378,31.19692857142857,31.67648518518518,31.11596538461537,0
Neg_103,1.1667536585365856,0.6354150000000001,0.5283435897435899,0.458478947368421,0.4921837837837837,8.936558536585364,9.639772499999996,9.59825128205128,10.106610526315793,9.71577027027027,2.017865853658536,3.6351675,3.575825641025641,3.6798710526315785,3.4254108108108103,178.90911951219505,174.5485825,176.12126666666663,177.2791052631579,174.70175675675668,66.48826585365855,63.85501749999997,65.30897179487182,65.81394736842105,62.943962162162165,29.18146829268292,23.2675825,23.868769230769228,24.08064210526316,24.68868108108108,0
Neg_1048,0.777928888888889,0.1247954545454545,-0.1384906976744186,0.0230047619047618,0.2200780487804877,2.4648577777777763,2.9385386363636354,4.127869767441864,3.7515190476190474,3.792341463414632,0.51082,1.5754795454545454,1.77309534883721,1.3859690476190478,1.616365853658537,189.29285999999996,181.94821136363632,182.46736279069765,181.64624285714285,180.52656341463413,81.33305333333332,78.33158636363635,78.7176953488372,78.06720952380951,78.75265853658533,38.35465333333335,33.58591590909091,33.63698837209303,32.85666904761905,33.34470731707318,0
Neg_628,0.8344800000000002,0.3208624999999999,0.0861478260869565,0.0954909090909091,0.0540333333333333,2.332524,3.7847375,4.387939130434783,4.224909090909092,4.230552380952381,0.6516240000000001,1.1401208333333337,1.5578739130434784,1.3377181818181816,1.8734380952380951,193.228048,185.6191375,181.6774652173913,178.35417272727273,176.88518095238095,84.192744,83.28967916666666,81.85926956521736,80.86538181818183,78.64818571428573,39.895644,36.40400833333333,35.39711739130434,35.148118181818184,34.870261904761904,0
Neg_2169,0.6287558139534886,-0.0077761904761904,-0.0398878048780488,-0.0645625,0.1045846153846153,1.764155813953488,1.472366666666666,1.9585731707317071,1.912925,1.387802564102564,-0.337446511627907,0.6410761904761904,1.1992390243902438,0.9485925000000002,0.5635564102564101,193.70226046511624,187.03193809523813,187.19775609756093,188.58362750000003,188.04355128205128,86.38278139534887,84.49109047619046,84.04189512195119,87.38717999999997,85.53368717948717,45.29663255813954,39.094664285714295,36.781531707317065,38.13594249999999,41.794289743589744,0
Neg_599,0.6749228260869563,0.2179714285714285,0.0543422222222222,0.0103168539325842,0.0989795454545454,2.0118065217391305,2.540529670329672,3.013039999999999,2.8433561797752818,3.3393113636363627,0.0987663043478259,0.6619417582417579,1.0685444444444443,1.2665674157303373,1.3763613636363634,213.1372315217391,204.16212417582415,200.1344177777778,200.3538797752808,199.25690227272733,84.82215869565215,83.00918571428572,81.16480111111112,80.75522247191012,80.08545909090908,37.18647391304346,34.325318681318656,33.288188888888875,32.91820561797753,32.41908068181818,0
Neg_2490,1.0139655172413793,0.1287607142857142,0.3051777777777779,0.4810884615384616,0.272916,6.002127586206899,7.629857142857142,6.927155555555555,8.155957692307693,8.755491999999998,1.3732620689655168,3.0660535714285717,2.7087925925925926,2.9683692307692318,3.391364,172.63751034482755,160.61823214285712,166.6950666666666,163.54017307692305,170.178428,65.23350689655172,60.067857142857136,62.27059259259259,61.20853076923076,65.27667199999999,27.25951034482759,22.908764285714284,23.24527037037037,22.16574615384615,23.10906,0
Neg_62,0.7841469135802469,0.1039025,-0.0473455696202531,0.093325641025641,0.1824220779220779,3.3988641975308647,4.0798025,3.4370594936708865,3.984401282051284,3.7160025974025968,0.7325999999999998,1.6390712500000002,1.4725962025316457,1.7670358974358975,1.4507597402597403,177.39078518518517,170.09324999999995,170.24828354430375,169.5782589743589,170.71621818181816,75.30718888888889,71.22805500000001,72.57403670886076,72.14935256410259,72.01551168831168,34.91118888888889,30.60347375,30.60314050632912,29.47502692307693,30.05696753246753,0
Neg_1129,0.9297552631578953,0.3153439999999999,0.2042797297297296,0.1394767123287671,0.2014805555555555,6.0719394736842105,7.748554666666664,7.877979729729727,7.511468493150687,7.272337499999998,1.5072539473684206,2.605058666666666,2.8863445945945947,3.261926027397261,2.8756805555555545,177.35090131578946,171.82694933333337,171.63313513513512,172.0309301369863,172.53595416666664,66.91766842105262,65.53688799999999,65.4185662162162,64.02674383561644,65.1353736111111,28.240934210526312,24.35406133333333,23.644440540540536,23.8283712328767,25.06042916666665,0
Neg_190,1.018507692307692,0.3575666666666666,-0.1111909090909091,0.3579299999999999,0.6133888888888889,6.778938461538461,9.254575,9.771281818181818,8.25964,8.07688888888889,1.5847846153846157,3.4809000000000005,4.65480909090909,3.46025,2.483044444444444,206.80723846153845,187.10728333333336,198.74813636363635,197.50328,197.9233888888889,74.37329999999999,70.79898333333331,69.15787272727272,77.42484999999998,75.27138888888891,31.46596923076923,25.976591666666664,23.36133636363636,27.41181,28.74993333333333,0
Neg_1522,0.7438397260273975,0.146323611111111,0.1335577464788731,0.08749,0.189582608695652,2.6628616438356167,3.895345833333334,3.684835211267608,3.722150000000001,4.168108695652174,0.4077616438356162,1.3340277777777771,1.4037338028169013,1.3831585714285717,1.5955217391304344,193.80218767123284,183.3830777777777,182.24110281690136,187.4561614285714,185.8892014492753,80.10748904109592,77.16230833333333,76.60949295774647,78.14517142857143,78.95104782608696,35.70216575342465,32.300988888888874,31.11814788732394,32.30239428571429,33.0811304347826,0
Neg_165,1.1853938461538465,0.1756890624999999,0.3631095238095238,0.4760064516129033,0.5250131147540984,6.244626153846152,8.721567187499998,8.005120634920635,7.209404838709675,8.038416393442624,1.9775323076923077,3.9853734375,3.368363492063492,3.4911806451612906,2.8345573770491805,171.35358,162.53302656250003,161.60630000000003,163.29360645161285,161.85383442622947,74.69259076923078,70.5711953125,72.38807301587299,70.9260758064516,72.25618852459017,36.36454153846154,29.900348437499996,31.515247619047614,31.167958064516124,31.58971639344261,0
Neg_1152,0.4941354166666666,0.1345255319148936,0.0118913043478261,0.1317977777777778,-0.0295954545454545,-2.227102083333335,-1.6922510638297887,-1.921304347826088,-1.6633288888888895,-1.1474840909090909,-1.4945770833333336,-1.102304255319149,-0.8669804347826088,-0.7747622222222224,-0.3593886363636369,198.6071020833333,190.5833872340426,192.2251847826087,190.10336222222224,190.51335454545455,90.5500125,86.04527021276596,85.64755869565217,85.52976666666667,85.2263659090909,44.271293750000005,40.55310212765958,38.76779130434783,38.61527777777777,39.14832272727272,0
Neg_217,0.822025,0.0043191489361701,0.0439999999999999,0.0500733333333333,0.3371681818181817,3.495737500000002,4.934831914893619,5.62184347826087,4.874580000000001,5.252622727272731,1.5084458333333337,2.2291191489361704,2.443669565217391,2.1811488888888886,2.164475,203.8835854166667,195.42641914893625,193.9509391304348,192.9967511111112,192.5540022727272,90.5668625,88.12815957446809,88.00659565217386,86.96041333333334,88.53419090909088,43.48405625000001,39.4743425531915,39.409850000000006,39.25263555555556,40.15493636363635,0
Neg_1140,0.763221739130435,0.2280377777777777,0.0812681818181818,0.0477395348837209,0.2931738095238095,4.7839608695652185,5.345982222222223,6.093388636363638,6.155116279069767,5.497930952380952,1.0009673913043478,2.184453333333333,2.373877272727273,2.759630232558139,1.912064285714285,197.1234673913043,193.56478666666663,190.9495272727273,191.45048837209308,191.9130761904762,79.08725869565218,78.54342888888888,75.83782954545455,74.58496511627907,76.76801904761902,35.71888260869565,31.54563555555555,30.548011363636352,29.24065813953487,30.694899999999997,0
Neg_2378,0.7402000000000003,0.0648363636363636,0.0634465116279069,-0.0150666666666666,0.0910146341463414,2.842864444444444,3.1982840909090897,1.8856162790697664,2.1478761904761887,2.609599999999998,0.2896822222222222,0.7278568181818184,1.1778372093023255,0.9325595238095238,1.1575048780487804,193.65975777777777,186.06267727272723,187.23350697674417,188.0926309523809,187.10532682926825,82.91502000000003,80.32454545454544,79.78358139534883,81.43378095238094,77.17808780487805,40.45999111111111,35.89120227272727,34.93772093023256,35.93788571428572,33.590129268292685,0
Neg_1569,0.6909609756097562,0.1057283950617283,0.12011,-0.1238202531645569,0.1240717948717948,4.064203658536586,4.375835802469136,3.83270875,4.376524050632912,3.893607692307691,1.3196634146341464,1.707177777777778,1.3344874999999996,1.8508240506329108,1.7573730769230769,187.86120975609757,182.52303086419744,183.6394274999999,182.45639873417707,181.77004999999988,78.30285975609756,76.11257777777777,76.95683000000002,75.83128987341775,76.24535000000002,35.60496829268292,31.357512345679,32.61688000000001,31.20304556962025,32.013253846153845,0
Neg_662,0.9142125,0.172695652173913,-0.0235818181818181,0.2141333333333333,0.3720399999999999,5.058862499999999,6.385595652173913,6.578309090909093,4.8240952380952375,3.995375000000001,1.3022833333333332,2.793452173913044,2.590604545454546,1.632485714285714,1.994215,187.26681250000004,185.37741304347827,183.23025,184.95935714285716,185.56692000000004,78.99659583333333,78.19179999999997,78.13024090909092,76.84494761904762,76.74171500000001,37.34330833333334,30.972039130434776,33.91910454545455,32.3516,32.841159999999995,0
Neg_688,1.135936363636363,0.4510314814814816,0.2996245283018868,0.3306596153846153,0.3693647058823529,6.332152727272727,8.130072222222223,8.4006,8.275125000000001,6.695752941176471,1.5574363636363635,2.7982444444444448,2.849915094339622,2.4912269230769226,2.4508450980392147,198.09269636363643,188.14436666666668,189.75659245283015,188.85678846153843,190.2643,73.12667636363639,71.07533333333333,70.49351509433961,70.08168846153848,69.63380392156864,30.73424909090908,26.56219074074074,25.29965471698113,25.851284615384618,27.079811764705887,0
Neg_541,0.6770133333333332,0.1178214285714285,-0.1793076923076923,-0.1055833333333333,-0.038390909090909,0.9882199999999998,2.3199142857142845,2.3696,2.7342833333333334,2.943227272727272,-0.2847066666666668,1.534392857142857,1.2100769230769228,1.234725,1.2905181818181817,202.1462733333333,200.0221285714285,196.7392769230769,197.09354166666665,198.5991090909091,93.04391333333334,85.60702142857143,85.36196153846154,84.70223333333333,84.95115454545454,47.13827333333335,38.10998571428571,39.47578461538462,39.41546666666667,35.835581818181815,0
Neg_624,0.6569481481481481,-0.0707192307692307,-0.0442119999999999,0.1908208333333333,0.0048739130434782,1.5007481481481475,3.006530769230769,2.234451999999999,2.690204166666666,2.964495652173914,-0.0151222222222222,0.987203846153846,1.376032,0.4794791666666667,0.9507130434782612,216.2392074074074,205.87146923076924,208.048264,210.35489166666665,209.3862956521739,83.46794814814814,81.72399615384617,81.02576,83.36518749999999,82.02780869565217,35.160229629629626,30.602888461538463,30.871232,33.331508333333325,31.60177391304347,0
