,Aliphatic_Index,y
Neg_1390,126.77419354838712,0
Neg_1018,98.98734177215192,0
Neg_602,123.33333333333331,0
Neg_182,39.6875,0
Neg_1056,119.0625,0
Neg_2567,43.731343283582085,0
Neg_849,69.02439024390245,0
Neg_2338,89.58333333333333,0
Neg_422,82.19512195121952,0
Neg_1421,81.0843373493976,0
Neg_2439,93.65384615384616,0
Neg_563,58.57142857142857,0
Neg_1622,89.8,0
Neg_1578,72.28571428571428,0
Neg_1939,114.44444444444444,0
Neg_163,51.48648648648648,0
Neg_287,92.16216216216216,0
Neg_787,50.8695652173913,0
Neg_1846,76.35135135135135,0
Neg_1280,114.21052631578948,0
Neg_1918,55.71428571428571,0
Neg_999,44.0,0
Neg_314,127.43589743589745,0
Neg_2192,125.83333333333331,0
Neg_605,36.086956521739125,0
Neg_413,125.0,0
Neg_1861,113.04878048780488,0
Neg_342,48.75,0
Neg_398,102.25806451612904,0
Neg_96,48.66666666666666,0
Neg_1924,73.5,0
Neg_592,93.33333333333334,0
Neg_1985,88.75,0
Neg_1045,79.87012987012986,0
Neg_2542,53.888888888888886,0
Neg_2165,59.42528735632184,0
Neg_1526,29.29824561403508,0
Neg_2709,139.35483870967744,0
Neg_2230,64.99999999999999,0
Neg_2137,125.80645161290322,0
Neg_2068,105.40983606557376,0
Neg_2163,37.74193548387096,0
Neg_2247,100.51546391752576,0
Neg_529,46.39344262295083,0
Neg_936,81.50684931506848,0
Neg_2418,114.87179487179486,0
Neg_2487,113.69047619047616,0
Neg_703,88.30188679245282,0
Neg_1742,29.428571428571427,0
Neg_305,62.56410256410256,0
Neg_1078,85.39325842696628,0
Neg_1672,99.23076923076924,0
Neg_2568,50.8,0
Neg_1911,70.0,0
Neg_2397,54.41176470588236,0
Neg_992,127.58620689655172,0
Neg_1161,118.57142857142856,0
Neg_2581,99.77272727272728,0
Neg_701,93.6,0
Neg_464,112.80701754385964,0
Neg_1692,75.14285714285714,0
Neg_774,77.36842105263158,0
Neg_2620,123.82716049382717,0
Neg_979,44.43037974683544,0
Neg_2827,36.89655172413793,0
Neg_2729,34.09090909090909,0
Neg_2277,104.30555555555554,0
Neg_1632,88.82352941176471,0
Neg_2756,60.0,0
Neg_1898,78.75,0
Neg_1391,34.25,0
Neg_1059,77.6923076923077,0
Neg_1746,90.1923076923077,0
Neg_1847,61.57894736842104,0
Neg_1490,102.06896551724137,0
Neg_450,64.99999999999999,0
Neg_1448,73.125,0
Neg_2410,63.191489361702125,0
Neg_1301,61.54639175257731,0
Neg_696,89.58333333333331,0
Neg_2757,69.64285714285712,0
Neg_815,19.6,0
Neg_890,167.1428571428571,0
Neg_2049,84.60526315789473,0
Neg_634,47.95918367346939,0
