,Levitt_alpha,y
Neg_1206,0.0351342233118871,0
Neg_926,0.0832820155029771,0
Neg_1834,0.1189634524667698,0
Neg_219,0.0320601070391316,0
Neg_1051,0.0359832398868011,0
Neg_2732,0.0593343359334342,0
Neg_22,0.0262968232391288,0
Neg_2672,0.018204271524522,0
Neg_1925,0.0211027979247238,0
Neg_1046,0.049036117554408,0
Neg_2602,0.0303880700654346,0
Neg_2626,0.0277039373573919,0
Neg_664,0.004770188368173,0
Neg_1033,0.0300537495569019,0
Neg_1541,0.0220502124273414,0
Neg_352,0.0369329687420937,0
Neg_2763,0.0126510221129336,0
Neg_2198,0.0332199606717446,0
Neg_260,0.0145026286604425,0
Neg_743,0.0113658708293281,0
Neg_1798,0.0270364402008993,0
Neg_805,0.0921427212076363,0
Neg_2446,0.0066516874155241,0
Neg_1456,0.0250270819304601,0
Neg_853,0.058717596581109,0
Neg_1866,0.0803213939007353,0
Neg_1972,0.0089382687616693,0
Neg_1250,0.0263192885218154,0
Neg_2893,0.0282072857865455,0
Neg_415,0.0389490055372733,0
Neg_2440,0.0743479317757314,0
Neg_1947,0.0709433104836802,0
Neg_2296,0.0189199842223661,0
Neg_1491,0.0236928312609508,0
Neg_1592,0.0213071133823826,0
Neg_833,0.0249741054069928,0
Neg_2254,0.1114902804780097,0
Neg_2786,0.0209314500379299,0
Neg_1307,0.0405054890499879,0
Neg_1022,0.0143703584466231,0
Neg_2289,0.0364968822593758,0
Neg_2564,0.0223043334411322,0
Neg_1131,0.0465159864209022,0
Neg_2814,0.0671541852007532,0
Neg_2346,0.0283700096587199,0
Neg_2538,0.0191877859150291,0
Neg_503,0.0423975593805861,0
Neg_614,0.0184136306077111,0
Neg_2227,0.0135884678010375,0
Neg_1977,0.0086089414332408,0
Neg_1151,0.037147155504788,0
Neg_2315,0.02005763185856,0
Neg_1180,0.0245119351732799,0
Neg_308,0.058835169307625,0
Neg_1426,0.0363165763914561,0
Neg_12,0.0289517905693597,0
Neg_506,0.009327359474484,0
Neg_136,0.0313992280668128,0
Neg_378,0.0181524305321561,0
Neg_2058,0.0101258353047599,0
Neg_2336,0.0305000569565446,0
Neg_2220,0.0147437216860507,0
Neg_262,0.0641872841983697,0
Neg_1888,0.0272311760167755,0
Neg_2552,0.0228386911055543,0
Neg_1340,0.0417229885764454,0
Neg_1753,0.0145719002021099,0
Neg_941,0.0312428079155004,0
Neg_689,0.0065733303728335,0
Neg_403,0.0223201220747794,0
Neg_2524,0.0346563163729954,0
Neg_1006,0.0469944110674753,0
Neg_89,0.059168170748384,0
Neg_1956,0.0712948126707136,0
Neg_2723,0.0127082113789462,0
Neg_34,0.0145946890632765,0
Neg_757,0.0489657632506848,0
Neg_1170,0.0152552052123871,0
Neg_1405,0.028240048518327,0
Neg_1634,0.0418349214272818,0
Neg_835,0.0147472232647732,0
Neg_1809,0.0169163717693051,0
Neg_296,0.0343451084266945,0
Neg_1989,0.0423652890152125,0
Neg_636,0.0469535422854362,0
Neg_1350,0.0561328461965435,0
Neg_160,0.1537038557188489,0
Neg_1524,0.0151291981404878,0
Neg_836,0.0085737940487207,0
Neg_1885,0.0798880646599337,0
Neg_1723,0.0188794917289552,0
Neg_1139,0.0308993391346814,0
Neg_531,0.0634440833723646,0
Neg_131,0.0298166063801684,0
Neg_226,0.0240745210315378,0
Neg_2031,0.032094438700438,0
Neg_1050,0.0178089626427856,0
Neg_2215,0.0563015708511745,0
Neg_1008,0.0086571936124348,0
Neg_755,0.0769126086331699,0
Neg_1309,0.0777209458868925,0
Neg_1348,0.0237830792811557,0
Neg_2829,0.0207744989196607,0
Neg_1281,0.0373789460450757,0
Neg_2879,0.1453334551209151,0
Neg_2182,0.0475879256155793,0
Neg_513,0.0639219461365877,0
Neg_2222,0.0195320106742025,0
Neg_2348,0.0217086522688894,0
Neg_549,0.0622670943287235,0
Neg_2669,0.0781817069081241,0
Neg_1248,0.0165817030265925,0
Neg_19,0.0187658083552549,0
Neg_1763,0.0278753554432898,0
Neg_2832,0.0673536298253455,0
Neg_1992,0.0086659698914756,0
Neg_2675,0.0118917414555947,0
Neg_203,0.0220615549725671,0
Neg_2314,0.0310538383088931,0
Neg_460,0.0103117063680719,0
Neg_248,0.019990438120819,0
Neg_418,0.0546703614248508,0
Neg_1007,0.0161806296872338,0
Neg_2178,0.0177451093990934,0
Neg_537,0.0299352840733007,0
Neg_97,0.0502199357372466,0
Neg_1719,0.0384971930213251,0
Neg_1777,0.0075566069091264,0
Neg_771,0.0186617820647541,0
Neg_2070,0.0463825018866018,0
Neg_1418,0.0241024369558675,0
Neg_1167,0.0246022653209149,0
Neg_2477,0.0375406388484173,0
Neg_715,0.0235124661293154,0
Neg_616,0.0080713589025443,0
Neg_558,0.0334236279509766,0
Neg_64,0.0144076058437827,0
Neg_1316,0.0228507412363168,0
Neg_1507,0.1326472612666696,0
Neg_1101,0.0083665455368447,0
Neg_1796,0.0099474772131274,0
Neg_1223,0.0519221326925102,0
Neg_538,0.0345896201077934,0
Neg_302,0.0220027012411178,0
