,Kytedoolittle,y
Neg_215,0.1303638680029265,0
Neg_2516,0.0611543224554152,0
Neg_1712,0.0153494278524546,0
Neg_2010,0.1043909189451283,0
Neg_1285,0.2007969400606512,0
Neg_2834,0.0746179650125416,0
Neg_2013,0.2304549256376548,0
Neg_945,0.0315890411975856,0
Neg_1787,0.0356821026753288,0
Neg_935,0.1093998302049663,0
Neg_2099,0.1444987427638951,0
Neg_2179,0.1284883203267688,0
Neg_2726,0.1719262574258948,0
Neg_1484,0.0522475121065497,0
Neg_2381,0.1142051551077494,0
Neg_1458,0.111502732933276,0
Neg_216,0.2202254244488319,0
Neg_2725,0.2792459631545435,0
Neg_406,0.0926136796979433,0
Neg_1363,0.0417839094485168,0
Neg_1311,0.0984482896727337,0
Neg_1149,0.4518677959396397,0
Neg_1218,0.0481866272117224,0
Neg_1597,0.1398910144559147,0
Neg_2745,0.080304208391388,0
Neg_1477,0.0719017405381194,0
Neg_2803,0.247575066112018,0
Neg_104,0.1944305930530077,0
Neg_1900,0.0600834778709544,0
Neg_2586,0.0303002156359329,0
Neg_2050,0.0480150079203179,0
Neg_1069,0.4930860712890834,0
Neg_336,0.167430211197106,0
Neg_2260,0.0978745971692177,0
Neg_1733,0.114726672071881,0
Neg_1555,0.2298632862700455,0
Neg_2329,0.2049360901095037,0
Neg_1878,0.2209886867199859,0
Neg_1893,0.0790612426174102,0
Neg_1716,0.0591830939558603,0
Neg_2322,0.1631224387164614,0
Neg_101,0.1304915200997939,0
Neg_16,0.1471635091250052,0
Neg_31,0.1900926246010031,0
Neg_240,0.291359221172174,0
Neg_1117,0.0308054018702669,0
Neg_2262,0.1225516372514176,0
Neg_2861,0.1076053140794841,0
Neg_1225,0.1019353752809476,0
Neg_261,0.0886522492865364,0
Neg_609,0.1219452664318645,0
Neg_1352,0.1199194412411776,0
Neg_733,0.3346208008123386,0
Neg_2593,0.2734723337077656,0
Neg_2259,0.1032348383669063,0
Neg_1785,0.1117042637337635,0
Neg_847,0.1991562146772618,0
Neg_684,0.0267210325105718,0
Neg_1411,0.0822878583300289,0
Neg_680,0.2002808672021538,0
Neg_502,0.0606501473555903,0
Neg_1097,0.1578688409647542,0
Neg_1826,0.0712103382623096,0
Neg_702,0.044819857754719,0
Neg_1626,0.0263997852858878,0
Neg_2358,0.1646782296485001,0
Neg_1026,0.196493470244714,0
Neg_82,0.0836255383187279,0
Neg_509,0.076231966713283,0
Neg_1235,0.0257349809308242,0
Neg_2118,0.1481706202396537,0
Neg_1303,0.1791650072215911,0
Neg_72,0.0759069338252509,0
Neg_1147,0.1907732130440455,0
Neg_2437,0.3069659480502357,0
Neg_1770,0.0076708542610237,0
Neg_177,0.1746578784596383,0
Neg_978,0.1269489323535819,0
Neg_724,0.3605636196377327,0
Neg_1766,0.1571175328514071,0
Neg_868,0.0500896959494098,0
Neg_1825,0.0438585090609768,0
Neg_2020,0.1163372923638807,0
Neg_1628,0.2157381014843355,0
Neg_892,0.0661903647603082,0
Neg_2692,0.3092928767220028,0
Neg_512,0.1398157372242339,0
Neg_2128,0.0167546433955529,0
Neg_1647,0.2817318873325749,0
Neg_2419,0.401714631722184,0
Neg_2659,0.1623421277492237,0
Neg_1214,0.0452204118749285,0
Neg_411,0.2156781391558328,0
Neg_2321,0.1014220302631627,0
Neg_1384,0.2567757194707853,0
Neg_1489,0.0263223637239901,0
Neg_2666,0.0988783931495761,0
Neg_1905,0.0516122918989962,0
Neg_55,0.1889928706874147,0
Neg_1178,0.2515622084570302,0
Neg_2369,0.2076896717566847,0
Neg_1,0.1737681355903166,0
Neg_1999,0.2228049071423887,0
Neg_1883,0.0712648457544657,0
Neg_1643,0.2576852352632879,0
Neg_2885,0.2832513404036954,0
Neg_1786,0.0684098832144352,0
Neg_1933,0.1105846144229202,0
Neg_814,0.1820338721262573,0
Neg_1593,0.2043156031023143,0
Neg_1298,0.144103482893811,0
Neg_285,0.0881790844926525,0
Neg_2792,0.0999575228362189,0
Neg_2154,0.0477356442573496,0
Neg_1689,0.0067047920927567,0
Neg_603,0.185482349051428,0
Neg_1021,0.1821817722747261,0
Neg_1820,0.1699291097665468,0
Neg_222,0.0596146183874516,0
Neg_256,0.1969510275854605,0
Neg_704,0.0785844804887381,0
Neg_144,0.0423223170312398,0
Neg_2067,0.0827136317863429,0
Neg_1406,0.146722310880502,0
Neg_2616,0.1621030077954018,0
Neg_648,0.2149022706195944,0
Neg_2774,0.1519061889657603,0
Neg_292,0.1091539760511115,0
Neg_2667,0.1211463391327578,0
Neg_257,0.17327368311158,0
Neg_1768,0.0423910266631445,0
Neg_2249,0.1086963885422269,0
Neg_779,0.0480934781191484,0
Neg_2513,0.0643404484128757,0
Neg_2425,0.0857028095051033,0
Neg_2272,0.1721233071980701,0
Neg_361,0.1324054331873482,0
Neg_1745,0.3915404630046656,0
Neg_2902,0.0632949732922983,0
Neg_808,0.1067766729784246,0
Neg_407,0.0805341760293704,0
Neg_191,0.0911568169594324,0
Neg_1737,0.0658900265512816,0
Neg_1001,0.0450693033815475,0
Neg_2120,0.0945133867528178,0
Neg_960,0.0601901809923327,0
Neg_1356,0.0443007113361932,0
Neg_1764,0.4633032619792599,0
Neg_901,0.2554896795911247,0
Neg_2556,0.0346665914908379,0
Neg_303,0.035501547011755,0
Neg_654,0.0736876062958375,0
Neg_251,0.0461797059094174,0
Neg_1958,0.0715749466082873,0
Neg_2857,0.0765358904078017,0
Neg_1824,0.0771922342969101,0
Neg_9,0.3004033259987623,0
Neg_1397,0.0594119719471162,0
Neg_1841,0.1309893307349079,0
Neg_1197,0.1526061840879815,0
Neg_1357,0.0740685346067907,0
Neg_2898,0.0329606551072976,0
Neg_2132,0.1658140189919141,0
Neg_647,0.1129653243259945,0
Neg_2646,0.1783227191231874,0
Neg_476,0.0710870012911136,0
Neg_231,0.125924477368003,0
Neg_451,0.0728931204031334,0
Neg_1073,0.3629896136434632,0
Neg_7,0.1115602380856027,0
Neg_1877,0.0798066563339564,0
Neg_2912,0.129736901391987,0
Neg_1968,0.1811810035543918,0
Neg_2590,0.1800310345545707,0
Neg_2781,0.0510012944146728,0
Neg_940,0.4483756951632174,0
Neg_459,0.0786503649944036,0
Neg_1657,0.130189089255416,0
Neg_2544,0.1663564812346163,0
Neg_2345,0.0087872212650519,0
Neg_2406,0.0813613928561887,0
Neg_2060,0.0960369799698343,0
Neg_2697,0.1199343103379116,0
Neg_1979,0.1260535990530969,0
Neg_875,0.3412141819277457,0
Neg_798,0.1018828254143611,0
Neg_2520,0.2783263337142891,0
Neg_2252,0.0969280698940361,0
Neg_1502,0.0374661222305038,0
Neg_2316,0.0969317619956794,0
Neg_2282,0.0561634045895368,0
Neg_2664,0.1187418079845645,0
Neg_1274,0.4638517594895858,0
Neg_1290,0.1872584775031624,0
Neg_299,0.0643170876831216,0
Neg_2528,0.0862342064499061,0
Neg_1387,0.0499548999360306,0
Neg_13,0.1111718793288462,0
Neg_586,0.113861887677306,0
