,Cougar__1,Cougar__2,Cougar__3,Cougar__4,Cougar__5,Cougar__6,Cougar__7,Cougar__8,Cougar__9,Cougar__10,Cougar__11,Cougar__12,Cougar__13,Cougar__14,Cougar__15,Cougar__16,Cougar__17,Cougar__18,Cougar__19,Cougar__20,Cougar__21,Cougar__22,Cougar__23,Cougar__24,Cougar__25,Cougar__26,Cougar__27,Cougar__28,Cougar__29,Cougar__30,y
Neg_1859,0.4026766428571428,0.3307397037037037,0.3598365384615384,0.33156056,0.3361539166666666,-0.0683860714285714,0.0735366666666666,0.0896419230769231,0.177198,0.13046,1.3395753571428572,1.3721148148148148,1.3279907692307693,1.3615312,1.32075625,1.0529642857142858,0.1338148148148148,-0.0683692307692307,-0.15236,-0.3564625,0.1379535714285715,0.064162962962963,0.1393807692307691,0.3746959999999999,0.298575,5.529674999999999,5.312618518518518,5.313042307692306,5.439540000000001,5.457133333333334,0
Neg_1088,0.4310662857142856,0.329125,0.3387407407407408,0.3021100566037736,0.3204585961538461,-0.2629655357142857,-0.0091076363636363,-0.021922037037037,0.0024507547169811,-0.0724625,1.363607321428571,1.294717818181818,1.271844444444444,1.255662641509434,1.2279348076923071,1.1367250000000004,-0.1101418181818181,-0.0503944444444444,-0.1420603773584905,-0.029675,-0.3557857142857142,-0.1783472727272727,-0.2511777777777778,-0.209754716981132,-0.1184788461538461,5.310253571428572,5.090310909090911,5.057514814814813,5.039209433962264,5.014551923076923,0
Neg_448,0.3996302388059699,0.2742426363636363,0.2757309846153845,0.313899953125,0.3022149523809522,-0.092331791044776,0.0634813636363636,0.0896624615384615,0.09070546875,0.0254407936507936,1.2686747761194033,1.2477703030303031,1.2366604615384615,1.2501840624999998,1.2739038095238098,0.8508820895522392,0.0431333333333333,-0.11452,0.1126625,0.2571777777777778,0.1029313432835821,0.2480030303030302,0.272270769230769,0.2180203125000001,0.1971603174603175,5.485486567164179,5.17855303030303,5.187161538461536,5.169793750000001,5.218611111111112,0
Neg_2831,0.4566158539325844,0.3679960568181817,0.3839944022988504,0.3932331976744185,0.3868339764705881,-0.2217339325842697,-0.047345909090909,-0.0693396551724137,-0.1309218604651161,-0.0790901176470588,1.3076860674157291,1.263630113636364,1.2704870114942537,1.2969409302325587,1.3005114117647063,0.8480516853932585,-0.0503352272727273,-0.0326275862068965,0.1561046511627907,-0.0345470588235294,-0.4494696629213484,-0.2211988636363635,-0.2914908045977012,-0.0676720930232556,-0.2147858823529411,4.998850561797754,4.435767045454544,4.462394252873563,4.592247674418604,4.548344705882353,0
Neg_358,0.4077652181818181,0.3286808148148147,0.3245109999999999,0.3245400576923077,0.3248796274509803,-0.0033232727272727,0.1621831481481482,0.1583105660377358,0.0839032692307692,0.1698137254901961,1.315891272727273,1.233145925925926,1.265893396226415,1.254356730769231,1.256277254901961,0.8175272727272729,-0.1140296296296297,-0.041566037735849,0.1075634615384615,-0.0366039215686274,0.2056090909090909,0.4346037037037036,0.3503358490566037,0.4916961538461538,0.3404490196078431,5.11792,4.681698148148148,4.760333962264152,4.710846153846154,4.80728431372549,0
Neg_2287,0.4732274259259257,0.3858134150943396,0.3562454615384615,0.3947222352941176,0.37737528,-0.144087037037037,-0.0014913207547169,0.066651923076923,-0.0669815686274509,-0.0393445999999999,1.3881579629629628,1.322836037735849,1.3024515384615385,1.329472549019607,1.3241974000000003,1.1773796296296295,0.2242094339622641,0.2236153846153846,0.3922019607843137,0.216658,0.1092203703703705,0.209409433962264,0.2786807692307692,0.3275705882352941,0.2609540000000001,5.086922222222222,4.8393471698113215,4.793755769230771,4.792821568627453,4.74807,0
Neg_2597,0.4186686666666667,0.3253055428571428,0.3331732058823529,0.3332630606060606,0.3456171875,-0.2426125,-0.007092,0.0106441176470588,-0.0669612121212121,-0.0741171875,1.4824805555555558,1.3818825714285714,1.4382329411764707,1.419447272727273,1.4372843750000004,0.9287583333333332,-0.0663885714285714,-0.1129529411764706,0.078290909090909,0.034025,-0.483361111111111,-0.0616285714285713,-0.1009470588235294,-0.1163545454545453,0.0868687499999998,6.081455555555555,5.84229142857143,5.758920588235294,5.810899999999999,5.752559375,0
Neg_2648,0.4891075252525251,0.4063659285714286,0.3770942164948456,0.3721500312500001,0.3790410736842105,-0.1969555555555555,0.0063614285714285,0.0312583505154639,0.0558964583333333,0.0516608421052631,1.4552807070707077,1.3812976530612249,1.3594609278350518,1.4009486458333331,1.4132074736842106,1.0249929292929292,-0.0692377551020408,0.0948319587628866,-0.1768781249999999,-0.1301810526315789,-0.2964999999999997,0.1038051020408162,0.0668752577319587,0.0642958333333333,-0.0372494736842104,5.39509797979798,4.780270408163265,4.835612371134021,4.837125,4.983189473684209,0
Neg_152,0.3765342835820894,0.2780999545454545,0.2573863384615383,0.2731402187499999,0.244975984126984,-0.0530734328358208,0.1047487878787878,0.1369876923076923,0.07906640625,0.2164074603174603,1.2056952238805974,1.182423787878788,1.0958753846153848,1.148125625,1.124885238095238,0.9154388059701496,-0.0102151515151514,-0.0756215384615384,0.05576875,-0.1628444444444443,0.1742492537313433,0.4283424242424242,0.5883923076923075,0.4535093750000002,0.4950301587301589,4.867407462686568,4.604821212121212,4.520516923076925,4.537276562500002,4.48824126984127,0
Neg_2086,0.4565702702702701,0.3904097222222222,0.3682305428571428,0.3736045882352941,0.3764377272727273,-0.3369867567567567,-0.1830958333333333,-0.0895871428571428,-0.2101897058823529,-0.1407493939393939,1.1637310810810813,1.1499655555555552,1.2211,1.3169811764705883,1.2346800000000002,1.453875675675676,0.11125,0.0816857142857143,0.2019588235294117,0.0694,-0.6763810810810809,-0.090622222222222,-0.2270599999999999,-0.6115617647058823,-0.2649030303030302,4.579351351351351,3.702808333333333,3.742168571428572,3.962276470588235,3.9360181818181808,0
