,NMBroto_CIDH920105.lag1,NMBroto_CIDH920105.lag2,NMBroto_CIDH920105.lag3,NMBroto_BHAR880101.lag1,NMBroto_BHAR880101.lag2,NMBroto_BHAR880101.lag3,NMBroto_CHAM820101.lag1,NMBroto_CHAM820101.lag2,NMBroto_CHAM820101.lag3,NMBroto_CHAM820102.lag1,NMBroto_CHAM820102.lag2,NMBroto_CHAM820102.lag3,NMBroto_CHOC760101.lag1,NMBroto_CHOC760101.lag2,NMBroto_CHOC760101.lag3,NMBroto_BIGC670101.lag1,NMBroto_BIGC670101.lag2,NMBroto_BIGC670101.lag3,NMBroto_CHAM810101.lag1,NMBroto_CHAM810101.lag2,NMBroto_CHAM810101.lag3,NMBroto_DAYM780201.lag1,NMBroto_DAYM780201.lag2,NMBroto_DAYM780201.lag3,y
peptide_nm_11,-0.0239834012121536,-0.1673462042823935,-0.3576378120064129,0.0948956268911129,-0.0003025038869523,0.1256086222504957,-0.1456827102551953,-0.235746639354547,-0.1301701162891908,0.226289982003581,-0.0604217969501329,-0.4068511673733607,-0.2467004376443019,-0.2562239786472186,-0.0866673558702918,-0.1055923721560183,-0.2642724316646755,0.0356581508753252,0.0530614893401808,-0.2680490659982126,0.1681276086545782,-0.1431560973417809,0.0967056899808648,-0.2819727694648254,0
peptide_nm_12,0.1017648325043108,0.1876465594114852,0.0384922432698126,-0.1488879645714564,0.0449187688091801,-0.1435154404153896,0.0375012952490956,0.2535360875970631,0.2003940320448081,0.0864181221860952,0.016228474060374,0.1074449945783601,-0.0429994141769184,0.2374938258841907,0.206765582369572,0.1125746083441078,0.3568721761509197,0.2439234911214835,0.1864810860018661,0.219762508659731,0.3259526575635454,-0.1073198913859842,0.2290731860753235,-0.122526523438841,0
peptide_nm_13,0.3194111603516406,0.3877120581667154,0.3196068173193612,0.3225005417742941,0.4188340551165054,0.198532954530484,0.3735695762418651,0.1778923890932889,0.0950215991753768,0.1525815452966011,0.1430138940907283,0.1844452171518007,0.5211216296712006,0.2226982832448217,0.0179007387732705,0.4532340838735256,0.1893647600645022,-0.0170869837547577,0.7737419772241908,0.5089805680614049,-0.2510549127156353,-0.0614296443633783,-0.0494668797863668,-0.0260143307690826,0
peptide_nm_14,-0.1439779358013874,0.1052247322283298,0.1628665210251901,-0.2909007065591196,-0.1431325533565436,0.1841009670671136,-0.0109906203241505,0.5043897058518766,0.1329530021456234,0.1705761195859381,0.1801053223709609,-0.0499830772612958,-0.1422860884248251,0.5117884225953381,-0.0756917881388056,-0.1843397387321553,0.4805878336697601,-0.0630855804412677,-0.2639753271613069,0.2229746500997068,-0.2750874561287997,-0.333284118944758,0.2424965364272693,-0.0421288539680707,0
peptide_nm_15,0.1486521502826047,0.0755817352432437,0.1357774082765308,0.2989984007331276,0.1478376797612935,0.285030951041081,0.7578252827348226,0.8700919269944647,0.826773731381226,0.4332130723120871,0.5477406527296156,0.4531391997284341,1.0696471590713297,1.2269810091582034,1.0681966987146354,0.951467273656634,1.149481501811182,1.0178444608672927,2.1048968665696117,2.3777000571726283,2.1098311567110763,0.0807917408529806,0.1008815489143642,0.1345639070233212,0
peptide_nm_16,0.0214006497423432,-0.0360224328982668,0.3549530887912506,0.1601339172844645,0.2325868910359283,0.1386148644515675,0.0836335624792089,0.1367722091841715,0.0174340528240576,0.0363044093992614,-0.0335732857119167,-0.0020127506304707,0.0495422539255889,0.0989149097041897,-0.0419638857300389,0.0887394265222261,0.1181915116841917,0.0099668571470771,-0.012068595886206,-0.0769442170171589,0.2712199199583192,-0.0934281673203621,-0.0227740527142742,0.1258593795135478,0
peptide_nm_17,0.1681121155880794,-0.0663785381293574,0.1021753849521873,0.3003124096095202,0.0181641118804697,-0.1157130938600698,0.2590692182441403,0.0128592330191118,0.1084375245489231,0.4490446539969347,0.3370032069721828,0.2780041292676049,0.3300497029107523,0.0109851400040586,0.0676443651051351,0.32091709049822,0.0479961225200669,0.1478730876229827,0.2526059585225437,0.3002797196569058,0.1905290864960282,-0.1868840635338704,-0.0328944693726022,0.1072138920917419,0
peptide_nm_18,0.3835906621556,-0.054173109608559,0.1266437344850063,0.1283316206275031,0.1288260624892958,-0.0178121406376157,0.2332991157305642,-0.1253669244437398,0.089890978020141,0.3417359665201254,-0.0693767428302808,0.1763215500815832,0.1704400565146972,-0.1572292761169014,0.0647506805885799,0.3363031022242527,-0.2186247810853173,-0.0259832652242341,0.1832103317512032,0.1204586183258916,-0.1720667128518996,0.4287685918051622,-0.0506165123416263,0.0596606774895525,0
peptide_nm_19,-0.071581151017414,-0.0868579574619396,0.1616129562199905,-0.0872671195822085,0.121160264649032,-0.2603117889212399,0.2699560083516126,0.2359108797104298,0.1878128458315084,0.2669150413006186,0.2719086170514193,0.2975679683562184,0.2798894211072438,0.2506207900300614,0.162643440504497,0.312999011757223,0.2595755940355753,0.196422549131831,0.2590120049798625,0.2479375778618035,0.225473637201633,-0.0195102954361144,0.0223911622537973,0.0179314229591541,0
peptide_nm_20,0.0034322566513379,0.2506223662205986,-0.1012419817906936,0.0091371496768972,0.2581173620876017,-0.1603192055491664,-0.2122036335747598,0.1377685859000667,0.0804505118133626,0.0385188412183586,-0.1620877728597239,0.0175003056723124,-0.3901696589590728,0.0693602365995503,-0.1349632999069575,-0.3018788530366369,0.0968919746216849,0.0547731844797415,-0.075379262830239,-0.4367579448087588,-0.2431967433685068,0.1620694008469153,-0.0962595680134669,-0.0584979875594585,0
peptide_nm_21,-0.0364698403789942,0.2406263382608671,0.2968904947528607,-0.0880740982747727,0.2592459353820558,0.2304751535318442,0.2761446690229161,0.8230099102098787,0.3649793197651098,0.0987143522406424,0.2239625279729052,0.1155188979108929,0.3205952286838439,1.0245356490575142,0.3918237476595793,-0.0747556356777008,0.9509953405885754,0.0941755335095542,-1.0796510039899605,1.0821572320922483,-0.7025976331022169,0.6141495017326358,0.2313801105397961,0.0263831917884721,0
peptide_nm_22,0.1473498800242516,-0.0793877072761,-0.3644587312839053,0.4813342250277983,0.0453244570074862,0.0386012545570216,0.3618661166060377,0.1371330503439248,0.1122082926337286,0.0378415843757911,-0.1047819709499369,0.1213377255762514,0.4735556397915541,0.07937395985997,0.2439263930528274,0.3421642182733545,0.0371469639923962,-0.0125592800603594,0.4315513848890306,-1.0144617932825757,0.0582263152771964,0.2979011133150597,-0.1783657827334527,-0.2495233693454272,0
