,ABHPRK__1,ABHPRK__2,ABHPRK__3,ABHPRK__4,ABHPRK__5,ABHPRK__6,ABHPRK__7,ABHPRK__8,ABHPRK__9,ABHPRK__10,ABHPRK__11,ABHPRK__12,ABHPRK__13,ABHPRK__14,ABHPRK__15,ABHPRK__16,ABHPRK__17,ABHPRK__18,ABHPRK__19,ABHPRK__20,ABHPRK__21,ABHPRK__22,ABHPRK__23,ABHPRK__24,ABHPRK__25,ABHPRK__26,ABHPRK__27,ABHPRK__28,ABHPRK__29,ABHPRK__30,ABHPRK__31,ABHPRK__32,ABHPRK__33,ABHPRK__34,ABHPRK__35,ABHPRK__36,ABHPRK__37,ABHPRK__38,ABHPRK__39,ABHPRK__40,ABHPRK__41,ABHPRK__42,ABHPRK__43,ABHPRK__44,ABHPRK__45,ABHPRK__46,ABHPRK__47,ABHPRK__48,ABHPRK__49,ABHPRK__50,ABHPRK__51,ABHPRK__52,ABHPRK__53,ABHPRK__54,ABHPRK__55,ABHPRK__56,ABHPRK__57,ABHPRK__58,ABHPRK__59,ABHPRK__60,ABHPRK__61,ABHPRK__62,ABHPRK__63,ABHPRK__64,ABHPRK__65,ABHPRK__66,ABHPRK__67,ABHPRK__68,ABHPRK__69,ABHPRK__70,ABHPRK__71,ABHPRK__72,ABHPRK__73,ABHPRK__74,ABHPRK__75,ABHPRK__76,ABHPRK__77,ABHPRK__78,ABHPRK__79,ABHPRK__80,ABHPRK__81,ABHPRK__82,ABHPRK__83,ABHPRK__84,ABHPRK__85,ABHPRK__86,ABHPRK__87,ABHPRK__88,ABHPRK__89,ABHPRK__90,ABHPRK__91,ABHPRK__92,ABHPRK__93,ABHPRK__94,ABHPRK__95,ABHPRK__96,ABHPRK__97,ABHPRK__98,ABHPRK__99,ABHPRK__100,ABHPRK__101,ABHPRK__102,ABHPRK__103,ABHPRK__104,ABHPRK__105,y
peptide_nm_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.1,0.0,0.1538461538461538,0.0833333333333333,0.1818181818181818,0.1,0.2222222222222222,0.0,0.0833333333333333,0.1818181818181818,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0909090909090909,0.1,0.1111111111111111,0.0,0.0833333333333333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.5,0.5454545454545454,0.6,0.6666666666666666,0.3076923076923077,0.25,0.2727272727272727,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0833333333333333,0.0909090909090909,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_12,0.1538461538461538,0.04,0.0,0.0434782608695652,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.04,0.0416666666666666,0.0869565217391304,0.0909090909090909,0.1538461538461538,0.08,0.125,0.0434782608695652,0.0,0.0,0.04,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.1153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0434782608695652,0.0454545454545454,0.1153846153846153,0.08,0.0833333333333333,0.0869565217391304,0.0454545454545454,0.0,0.0,0.0416666666666666,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.2307692307692307,0.08,0.0833333333333333,0.0434782608695652,0.0454545454545454,0.0,0.12,0.125,0.1304347826086956,0.1818181818181818,0.1153846153846153,0.04,0.0416666666666666,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.28,0.3333333333333333,0.3043478260869565,0.2272727272727272,0.0384615384615384,0.12,0.0833333333333333,0.1304347826086956,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_13,0.1379310344827586,0.0,0.0,0.0384615384615384,0.0,0.0,0.0357142857142857,0.037037037037037,0.0,0.0,0.0,0.0357142857142857,0.037037037037037,0.0,0.0,0.1379310344827586,0.1071428571428571,0.1111111111111111,0.1153846153846153,0.04,0.0,0.0357142857142857,0.0,0.0384615384615384,0.04,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.0357142857142857,0.037037037037037,0.0769230769230769,0.04,0.0,0.0357142857142857,0.0,0.0,0.04,0.1724137931034483,0.1428571428571428,0.1481481481481481,0.1923076923076923,0.16,0.0,0.0357142857142857,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.1034482758620689,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.1111111111111111,0.0769230769230769,0.08,0.0344827586206896,0.0,0.037037037037037,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.4642857142857143,0.4814814814814814,0.4615384615384615,0.44,0.0689655172413793,0.0714285714285714,0.037037037037037,0.0769230769230769,0.04,0.0,0.0,0.0,0.0384615384615384,0.04,0.1034482758620689,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.0,0
peptide_nm_14,0.1052631578947368,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0666666666666666,0.1052631578947368,0.0,0.1176470588235294,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0588235294117647,0.0625,0.0,0.1052631578947368,0.0555555555555555,0.0588235294117647,0.0625,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.0555555555555555,0.0,0.0,0.0,0.0,0.1666666666666666,0.1176470588235294,0.0625,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0625,0.0,0.4210526315789473,0.1111111111111111,0.2352941176470588,0.25,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0
peptide_nm_15,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0869565217391304,0.0454545454545454,0.0,0.0,0.0526315789473684,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304347826086956,0.0,0.0476190476190476,0.0,0.0,0.0,0.0454545454545454,0.0952380952380952,0.1,0.1052631578947368,0.0434782608695652,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.05,0.0,0.3478260869565217,0.1818181818181818,0.1428571428571428,0.05,0.0526315789473684,0.0869565217391304,0.0454545454545454,0.0952380952380952,0.05,0.0,0.0,0.0454545454545454,0.0,0.0,0.0526315789473684,0.1304347826086956,0.0,0.0,0.05,0.0526315789473684,0.0,0.0,0.0,0.05,0.0,0.1304347826086956,0.0,0.0,0.0,0.0526315789473684,0
peptide_nm_16,0.3157894736842105,0.0,0.0588235294117647,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0588235294117647,0.0625,0.1333333333333333,0.3157894736842105,0.0555555555555555,0.2352941176470588,0.25,0.0666666666666666,0.0,0.0555555555555555,0.0588235294117647,0.0625,0.0,0.0,0.0555555555555555,0.0588235294117647,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.1111111111111111,0.0588235294117647,0.125,0.1333333333333333,0.0,0.1666666666666666,0.2352941176470588,0.125,0.1333333333333333,0.0,0.0555555555555555,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.5789473684210527,0.2777777777777778,0.2352941176470588,0.4375,0.2666666666666666,0.1052631578947368,0.0555555555555555,0.0588235294117647,0.125,0.0666666666666666,0.0,0.1111111111111111,0.1176470588235294,0.0,0.1333333333333333,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.1052631578947368,0.0,0.0,0.0,0.0,0
peptide_nm_17,0.0405405405405405,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405405405405405,0.0273972602739726,0.0,0.0,0.0142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0277777777777777,0.0140845070422535,0.0,0.1216216216216216,0.0136986301369863,0.0,0.0140845070422535,0.0285714285714285,0.0,0.0410958904109589,0.0416666666666666,0.028169014084507,0.0285714285714285,0.1216216216216216,0.0547945205479452,0.0555555555555555,0.056338028169014,0.0428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0138888888888888,0.028169014084507,0.0285714285714285,0.2027027027027027,0.0821917808219178,0.0277777777777777,0.056338028169014,0.0714285714285714,0.0,0.0958904109589041,0.1388888888888889,0.1126760563380281,0.0714285714285714,0.0405405405405405,0.0273972602739726,0.0,0.0,0.0285714285714285,0.0,0.0273972602739726,0.0277777777777777,0.028169014084507,0.0428571428571428,0.4729729729729729,0.2191780821917808,0.2083333333333333,0.2112676056338028,0.2142857142857142,0.0405405405405405,0.0273972602739726,0.0277777777777777,0.0422535211267605,0.0285714285714285,0.0,0.0821917808219178,0.0694444444444444,0.0704225352112676,0.0714285714285714,0.081081081081081,0.0136986301369863,0.0,0.0,0.0142857142857142,0.0,0.0,0.0,0.0140845070422535,0.0142857142857142,0.1621621621621621,0.0410958904109589,0.0416666666666666,0.028169014084507,0.0428571428571428,0
peptide_nm_18,0.2307692307692307,0.0,0.0909090909090909,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0909090909090909,0.1,0.2222222222222222,0.2307692307692307,0.0833333333333333,0.1818181818181818,0.1,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2307692307692307,0.0833333333333333,0.0909090909090909,0.1,0.0,0.0,0.1666666666666666,0.0909090909090909,0.1,0.2222222222222222,0.0,0.0833333333333333,0.0,0.1,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.3333333333333333,0.3636363636363636,0.4,0.2222222222222222,0.0769230769230769,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_19,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0666666666666666,0.2105263157894736,0.0555555555555555,0.0588235294117647,0.0625,0.0666666666666666,0.0,0.0555555555555555,0.0588235294117647,0.0,0.0,0.2105263157894736,0.1666666666666666,0.1176470588235294,0.125,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0666666666666666,0.3157894736842105,0.1111111111111111,0.0588235294117647,0.125,0.0666666666666666,0.0,0.1666666666666666,0.2352941176470588,0.1875,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.2222222222222222,0.1764705882352941,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0625,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,0.0588235294117647,0.0,0.0,0
peptide_nm_20,0.2105263157894736,0.0555555555555555,0.0588235294117647,0.0625,0.0,0.0,0.0,0.0588235294117647,0.0,0.1333333333333333,0.0,0.1111111111111111,0.0,0.0625,0.0666666666666666,0.2105263157894736,0.0555555555555555,0.1176470588235294,0.0625,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1578947368421052,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.1578947368421052,0.1111111111111111,0.1764705882352941,0.0625,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105263157894736,0.0,0.0,0.0,0.0666666666666666,0.0,0.0555555555555555,0.0588235294117647,0.1875,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.5263157894736842,0.2222222222222222,0.2941176470588235,0.1875,0.4,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0666666666666666,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0
