,Charge_density,Charge_phys,Charge_acid,y
peptide_nm_122,-0.0002964440330002,0.0566990395381529,0.0901170080853092,0
peptide_nm_123,-0.0004603161685418,0.1121691806901786,0.0901228756610562,0
peptide_nm_124,0.0022375700596637,0.1503271978164254,0.1071312682810899,0
peptide_nm_125,0.001300579828907,0.108490098793138,0.149145911026906,0
peptide_nm_126,0.0004778618299143,0.0357043971781145,0.0605300008105796,0
peptide_nm_127,0.0007445038754485,0.1210600016211592,0.1210600016211592,0
peptide_nm_128,-1.9978024173409248e-06,0.0570033572209446,0.0570033572209446,0
peptide_nm_129,-0.000749763729917,0.1336582360666263,0.1336582360666263,0
peptide_nm_130,-0.0024226958143891,0.1168704744884616,0.1168704744884616,0
peptide_nm_131,0.0004789947828924,0.1666666666666666,0.1666666666666666,0
peptide_nm_132,0.0004691472617942,0.0894431675351787,0.0894431675351787,0
peptide_nm_133,-0.0004476280176473,0.1638603502458757,0.115859735648495,0
peptide_nm_134,0.0008364859184531,0.0,0.0,0
peptide_nm_135,-0.0013046314416177,0.0911605688194146,0.0911605688194146,0
peptide_nm_136,-1.82610601154099e-06,0.1112549482449294,0.1112549482449294,0
peptide_nm_137,0.000352081062015,0.0035944332712165,0.030695011148203,0
peptide_nm_138,-0.0013015749056358,0.0857003696268556,0.0857003696268556,0
peptide_nm_139,0.0003609884789813,0.010848461710196,0.0064314139876641,0
peptide_nm_140,0.0015614905278952,0.1693756024454011,0.1693756024454011,0
peptide_nm_141,0.0004715487873447,0.0558945747553512,0.0558945747553512,0
peptide_nm_142,0.0006904057173356,0.1332346775052982,0.1332346775052982,0
peptide_nm_143,0.0006401904486158,0.1122534862297562,0.0554761464450674,0
peptide_nm_144,0.0007705399969054,0.0,0.0,0
peptide_nm_145,-0.0015730409234671,0.0592325288321123,0.0881308674941818,0
peptide_nm_146,-0.0026160679824417,0.1237179148263483,0.1237179148263483,0
peptide_nm_147,0.0010574475821112,0.0533338858196058,0.02042919737258,0
