,Z3__1,Z3__2,Z3__3,Z3__4,Z3__5,Z3__6,Z3__7,Z3__8,Z3__9,Z3__10,Z3__11,Z3__12,Z3__13,Z3__14,Z3__15,Z3__16,Z3__17,Z3__18,Z3__19,Z3__20,Z3__21,Z3__22,Z3__23,Z3__24,Z3__25,Z3__26,Z3__27,Z3__28,Z3__29,Z3__30,y
peptide_nm_11,6.442576923076923,-0.8691916666666667,-1.1288545454545456,-1.5000600000000004,-1.1232111111111114,-0.5773076923076922,-1.2577416666666672,2.907972727272728,-2.0127300000000004,1.8595999999999997,-0.6892769230769229,-1.116091666666667,-1.1387909090909094,0.42166,-0.1148777777777778,5.058892307692307,-1.562525,-0.7505636363636367,-0.5592999999999999,0.6195333333333334,-0.4415769230769229,1.4766416666666666,0.1840090909090909,-0.9127399999999998,1.3641,2.001576923076923,0.442925,0.3350090909090908,0.1391799999999999,-0.4935444444444444,0
peptide_nm_12,8.625342307692309,-0.0033399999999998,0.8125416666666666,-0.9139434782608696,-0.1572363636363642,-0.4421230769230768,-2.14674,-0.6480416666666667,0.6473695652173912,-1.910936363636364,-0.1217961538461537,1.17962,0.3873124999999999,1.077395652173913,0.0958181818181818,4.517484615384615,-0.1722880000000002,0.0484333333333334,1.2247913043478258,-0.1382636363636363,-0.2747884615384615,0.4477119999999999,-0.8271583333333333,0.7792043478260872,-0.9850772727272724,2.168034615384616,-0.252752,0.0832541666666665,0.0010869565217391,0.0569227272727272,0
peptide_nm_13,6.643879310344827,1.377835714285714,2.616433333333334,2.481219230769231,1.8398,-0.4724586206896554,-0.8097535714285712,-1.3716148148148153,0.0206884615384616,-0.4299799999999998,-0.8935931034482757,-1.3037392857142858,-0.8812074074074074,-0.4085884615384615,-1.062828,6.255886206896554,1.9109535714285717,0.6105629629629634,0.2380461538461539,-0.8166840000000001,-0.4667896551724138,-0.4187678571428571,-0.3984629629629628,0.415369230769231,2.14832,2.980727586206897,0.5598821428571428,-0.1990703703703704,-0.1256423076923077,0.27596,0
peptide_nm_14,7.204073684210528,-1.7167944444444443,-0.7099764705882355,0.6044625,-0.7727066666666669,1.287257894736842,-0.8080388888888889,-1.0843764705882353,-1.4533125,1.4198666666666668,0.5558736842105263,-0.3396277777777776,0.7687705882352942,-1.2421062500000004,-1.0330266666666668,3.566700000000001,-1.1201444444444446,1.5451470588235292,-0.5971687499999999,1.1204066666666668,0.2290421052631578,0.486261111111111,-0.1541470588235294,-0.2659249999999999,-0.0937133333333332,2.042026315789474,0.1799166666666666,-0.7909411764705885,-0.1130187499999999,0.6311733333333335,0
peptide_nm_15,5.480613043478261,1.3333363636363635,0.2999380952380954,-0.539625,-1.156878947368421,-2.0327521739130425,-1.1091272727272723,-1.7223761904761905,-2.254130000000001,-3.817394736842105,-0.1377608695652173,-0.149540909090909,-0.0863095238095237,0.447305,-0.8454631578947369,9.579056521739131,3.8725681818181834,4.865052380952381,2.7149,4.725242105263158,0.3317086956521737,-1.811390909090909,-1.575457142857143,-1.000805,-0.2742210526315788,2.234447826086956,-0.3367318181818182,-0.3225,0.3144949999999999,0.3216631578947369,0
peptide_nm_16,8.904900000000003,-0.4769166666666667,-1.4596352941176471,4.15235,-0.6047333333333332,1.2184,-0.2678611111111113,-0.2090117647058823,1.7017125000000002,0.2922200000000002,1.679647368421053,1.0511833333333334,0.0204294117647058,0.6014187500000002,1.27364,3.2401315789473677,-0.282911111111111,-0.1551117647058823,-0.87083125,0.8399333333333333,0.9953052631578944,0.8645222222222224,-0.8680058823529411,-0.9957375,0.6493466666666666,1.6640789473684208,0.2507111111111111,-0.4736588235294117,0.2885999999999999,0.3970466666666665,0
peptide_nm_17,6.201018918918922,0.7341068493150689,-1.0908499999999997,0.4280605633802817,1.213427142857143,0.0708418918918916,0.056082191780822,-0.2239791666666666,-0.4433070422535211,-0.6068271428571427,-0.6143783783783785,0.1450301369863014,0.9562375,0.402569014084507,-0.1284971428571429,3.989322972972975,0.5111780821917813,-0.4525777777777777,-0.0406647887323943,0.8139214285714287,0.2178675675675676,0.1522890410958903,0.6248763888888891,-0.030181690140845,-0.4181585714285711,2.522325675675677,0.2036945205479453,0.1409541666666666,0.1583366197183098,0.1367500000000001,0
peptide_nm_18,9.143615384615384,1.3810000000000002,-0.2023545454545451,1.12715,-3.360044444444445,0.457169230769231,-1.1167333333333334,1.7616363636363637,0.6970400000000005,-3.889488888888889,2.717323076923077,0.3106916666666666,-0.3385818181818182,1.4879299999999998,-2.747177777777778,3.741438461538462,-1.0056666666666665,-1.108409090909091,1.1389299999999998,-1.1472999999999998,0.1153230769230768,0.3563416666666666,-0.3341090909090909,0.49822,-1.2754777777777777,2.6021,-0.0285416666666666,0.3496999999999999,-0.50262,-0.7893888888888888,0
peptide_nm_19,6.538784210526318,0.3671222222222219,-1.219552941176471,1.92593125,-0.4033666666666667,2.6524052631578945,0.4725222222222221,-0.1857117647058825,0.8204499999999999,0.6966466666666666,-1.2847684210526318,-0.4207666666666665,1.8643411764705888,0.3115875,0.7391200000000002,2.3790263157894733,-0.0084888888888889,0.4284647058823529,0.4893500000000002,0.3844666666666666,-0.4512578947368418,-0.7594055555555553,0.4094764705882352,-0.5007687500000001,0.0717999999999999,3.109810526315789,0.9093666666666668,1.548070588235294,0.313375,0.3451466666666666,0
peptide_nm_20,7.354763157894737,-0.4127388888888892,2.9927,-1.81709375,1.8283066666666667,1.6768947368421054,1.3942055555555557,-0.0335000000000002,-2.8951375,-0.1939533333333332,-0.1182210526315788,0.400661111111111,-0.8018941176470589,0.50308125,-0.9830266666666668,5.815394736842106,-0.8457944444444444,-1.6088529411764705,-0.3908624999999999,0.8142933333333334,-0.3939684210526316,1.2624944444444444,-0.8773235294117646,0.6209687500000001,0.4923066666666666,2.718115789473684,-0.4576888888888889,0.4823882352941177,0.145025,-0.2745866666666666,0
