,APAAC_Pc1.A,APAAC_Pc1.R,APAAC_Pc1.N,APAAC_Pc1.D,APAAC_Pc1.C,APAAC_Pc1.Q,APAAC_Pc1.E,APAAC_Pc1.G,APAAC_Pc1.H,APAAC_Pc1.I,APAAC_Pc1.L,APAAC_Pc1.K,APAAC_Pc1.M,APAAC_Pc1.F,APAAC_Pc1.P,APAAC_Pc1.S,APAAC_Pc1.T,APAAC_Pc1.W,APAAC_Pc1.Y,APAAC_Pc1.V,APAAC_Pc2.Hydrophobicity.1,APAAC_Pc2.Hydrophilicity.1,APAAC_Pc2.Hydrophobicity.2,APAAC_Pc2.Hydrophilicity.2,APAAC_Pc2.Hydrophobicity.3,APAAC_Pc2.Hydrophilicity.3,y
peptide_nm_37,5.046905143451763,1.0093810286903526,4.0375241147614105,3.028143086071058,1.0093810286903526,0.0,1.0093810286903526,6.056286172142116,0.0,4.0375241147614105,6.056286172142116,2.018762057380705,2.018762057380705,1.0093810286903526,2.018762057380705,3.028143086071058,2.018762057380705,0.0,0.0,4.0375241147614105,-0.0039672541714661,-0.0059744071029661,-0.0046536411114069,-0.0066880324624605,0.0052660158552335,0.0066362903027137,0
peptide_nm_38,1.9765494737131049,0.9882747368565524,0.0,0.9882747368565524,3.9530989474262097,0.9882747368565524,4.9413736842827625,0.9882747368565524,0.0,0.9882747368565524,1.9765494737131049,0.9882747368565524,0.9882747368565524,0.0,0.0,3.9530989474262097,1.9765494737131049,0.0,0.9882747368565524,0.0,-0.0054545845859687,-0.0096922344170091,0.0089374248083679,0.0098155297273767,8.456177255978543e-06,0.0081106714334249,0
peptide_nm_39,1.0412936339670564,0.0,3.123880901901169,1.0412936339670564,0.0,0.0,2.082587267934113,1.0412936339670564,1.0412936339670564,1.0412936339670564,2.082587267934113,1.0412936339670564,1.0412936339670564,0.0,1.0412936339670564,0.0,0.0,0.0,1.0412936339670564,3.123880901901169,0.0107368826621145,0.0075342006607672,-0.010718247715837,-0.0189620031408398,-0.0144353013196855,-0.0154491651135755,0
peptide_nm_40,3.0179092976410957,0.0,0.0,3.0179092976410957,1.005969765880365,1.005969765880365,5.029848829401826,3.0179092976410957,3.0179092976410957,1.005969765880365,0.0,0.0,0.0,1.005969765880365,2.01193953176073,2.01193953176073,1.005969765880365,0.0,0.0,0.0,0.0034985462418182,0.0228895956931248,-0.0057143328051136,0.0009504329155954,-0.0108574175319318,-0.016736590393858,0
peptide_nm_41,0.8706666419709728,2.6119999259129183,0.0,3.482666567883891,0.0,0.8706666419709728,2.6119999259129183,0.0,0.0,0.8706666419709728,2.6119999259129183,3.482666567883891,1.7413332839419455,1.7413332839419455,0.8706666419709728,1.7413332839419455,0.0,0.0,0.8706666419709728,0.0,0.0342634271659263,0.0394591232983053,0.019558315044506,0.0172464758654463,0.0118636662353844,0.0069423504194587,0
peptide_nm_43,1.10527456393874,2.21054912787748,0.0,1.10527456393874,0.0,0.0,0.0,1.10527456393874,1.10527456393874,0.0,0.0,0.0,0.0,2.21054912787748,1.10527456393874,0.0,0.0,1.10527456393874,1.10527456393874,1.10527456393874,-0.018849496896416,-0.0134114754829742,-0.0372890633974762,-0.0328931612369824,-0.0052204223166962,0.0023890553918051,0
peptide_nm_44,3.991498694448997,0.0,0.0,2.9936240208367475,0.0,1.9957493472244985,0.0,0.0,1.9957493472244985,0.0,1.9957493472244985,0.0,0.9978746736122492,1.9957493472244985,0.9978746736122492,0.0,0.0,0.0,0.0,0.9978746736122492,0.003171154916331,-0.0009248960862193,-0.0091038186040387,-0.0130789906240565,0.0104715697606862,0.0115903070250483,0
peptide_nm_45,4.072146987137737,1.0180367467844342,0.0,2.0360734935688685,0.0,2.0360734935688685,2.0360734935688685,1.0180367467844342,1.0180367467844342,4.072146987137737,2.0360734935688685,1.0180367467844342,1.0180367467844342,1.0180367467844342,4.072146987137737,1.0180367467844342,0.0,0.0,0.0,2.0360734935688685,-0.0162415930839004,-0.0142852479321484,-0.0066321476360906,-0.0042116003940196,0.0119032285744828,0.011430613687242,0
peptide_nm_46,6.886985079369608,0.9838550113385156,0.9838550113385156,5.903130068031093,0.0,3.935420045354062,4.919275056692578,3.935420045354062,2.9515650340155464,3.935420045354062,4.919275056692578,6.886985079369608,0.9838550113385156,0.9838550113385156,0.9838550113385156,4.919275056692578,0.9838550113385156,0.0,0.9838550113385156,2.9515650340155464,-0.0055473808489538,0.0033991927700971,0.0095563791957847,0.0100997100808131,-0.0024797466156297,0.001116834079373,0
peptide_nm_47,1.917244921555872,3.834489843111744,3.834489843111744,4.79311230388968,0.0,0.958622460777936,2.875867382333808,1.917244921555872,0.0,4.79311230388968,6.710357225445551,8.627602147001424,0.958622460777936,0.0,0.0,2.875867382333808,0.958622460777936,0.0,0.958622460777936,1.917244921555872,0.0115502962127288,0.0133135229516108,0.0014581445462537,0.004849737665965,0.0015420082966836,0.0086638295488219,0
