,CTDT_hydrophobicity_PRAM900101.Tr1221,CTDT_hydrophobicity_PRAM900101.Tr1331,CTDT_hydrophobicity_PRAM900101.Tr2332,CTDT_hydrophobicity_ARGP820101.Tr1221,CTDT_hydrophobicity_ARGP820101.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr2332,CTDT_hydrophobicity_ZIMJ680101.Tr1221,CTDT_hydrophobicity_ZIMJ680101.Tr1331,CTDT_hydrophobicity_ZIMJ680101.Tr2332,CTDT_hydrophobicity_PONP930101.Tr1221,CTDT_hydrophobicity_PONP930101.Tr1331,CTDT_hydrophobicity_PONP930101.Tr2332,CTDT_hydrophobicity_CASG920101.Tr1221,CTDT_hydrophobicity_CASG920101.Tr1331,CTDT_hydrophobicity_CASG920101.Tr2332,CTDT_hydrophobicity_ENGD860101.Tr1221,CTDT_hydrophobicity_ENGD860101.Tr1331,CTDT_hydrophobicity_ENGD860101.Tr2332,CTDT_hydrophobicity_FASG890101.Tr1221,CTDT_hydrophobicity_FASG890101.Tr1331,CTDT_hydrophobicity_FASG890101.Tr2332,CTDT_normwaalsvolume.Tr1221,CTDT_normwaalsvolume.Tr1331,CTDT_normwaalsvolume.Tr2332,CTDT_polarity.Tr1221,CTDT_polarity.Tr1331,CTDT_polarity.Tr2332,CTDT_polarizability.Tr1221,CTDT_polarizability.Tr1331,CTDT_polarizability.Tr2332,CTDT_charge.Tr1221,CTDT_charge.Tr1331,CTDT_charge.Tr2332,CTDT_secondarystruct.Tr1221,CTDT_secondarystruct.Tr1331,CTDT_secondarystruct.Tr2332,CTDT_solventaccess.Tr1221,CTDT_solventaccess.Tr1331,CTDT_solventaccess.Tr2332,y
peptide_nm_21,0.1764705882352941,0.0588235294117647,0.4705882352941176,0.2941176470588235,0.2352941176470588,0.1764705882352941,0.1764705882352941,0.3529411764705882,0.0588235294117647,0.1764705882352941,0.1764705882352941,0.3529411764705882,0.5294117647058824,0.0,0.0,0.1764705882352941,0.0588235294117647,0.4705882352941176,0.2352941176470588,0.0,0.5294117647058824,0.5882352941176471,0.0588235294117647,0.0588235294117647,0.4705882352941176,0.0588235294117647,0.1764705882352941,0.5882352941176471,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0,0.1176470588235294,0.2941176470588235,0.2352941176470588,0.1176470588235294,0.2352941176470588,0.1176470588235294,0
peptide_nm_22,0.2222222222222222,0.1111111111111111,0.2777777777777778,0.1666666666666666,0.2222222222222222,0.1666666666666666,0.1666666666666666,0.2222222222222222,0.0555555555555555,0.2777777777777778,0.1666666666666666,0.2222222222222222,0.1666666666666666,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2777777777777778,0.2777777777777778,0.1666666666666666,0.2222222222222222,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.2222222222222222,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0555555555555555,0.1111111111111111,0.2777777777777778,0.2777777777777778,0.1666666666666666,0.0555555555555555,0
peptide_nm_23,0.2941176470588235,0.1764705882352941,0.1764705882352941,0.4705882352941176,0.0588235294117647,0.1176470588235294,0.3529411764705882,0.0588235294117647,0.1176470588235294,0.2941176470588235,0.3529411764705882,0.0588235294117647,0.4117647058823529,0.1176470588235294,0.0,0.2352941176470588,0.1764705882352941,0.1764705882352941,0.2352941176470588,0.3529411764705882,0.1764705882352941,0.1764705882352941,0.1176470588235294,0.0588235294117647,0.1764705882352941,0.2352941176470588,0.2352941176470588,0.1764705882352941,0.1176470588235294,0.0588235294117647,0.2352941176470588,0.0,0.2352941176470588,0.4117647058823529,0.1764705882352941,0.1764705882352941,0.2941176470588235,0.2941176470588235,0.1764705882352941,0
peptide_nm_24,0.1764705882352941,0.2941176470588235,0.2941176470588235,0.2352941176470588,0.4117647058823529,0.1764705882352941,0.1176470588235294,0.5882352941176471,0.0,0.1176470588235294,0.5294117647058824,0.1764705882352941,0.5882352941176471,0.1176470588235294,0.1176470588235294,0.1764705882352941,0.2941176470588235,0.2941176470588235,0.0588235294117647,0.6470588235294118,0.0588235294117647,0.4117647058823529,0.0588235294117647,0.2352941176470588,0.3529411764705882,0.3529411764705882,0.1176470588235294,0.4117647058823529,0.0588235294117647,0.2352941176470588,0.0588235294117647,0.0,0.2352941176470588,0.3529411764705882,0.1176470588235294,0.2352941176470588,0.3529411764705882,0.2352941176470588,0.1176470588235294,0
peptide_nm_25,0.5,0.0,0.0,0.25,0.25,0.25,0.0,0.5,0.0,0.25,0.5,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.75,0.0,0.25,0.5,0.0,0.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.5,0
peptide_nm_26,0.2307692307692307,0.3846153846153846,0.0769230769230769,0.0769230769230769,0.5384615384615384,0.0,0.0769230769230769,0.3846153846153846,0.0,0.0,0.6153846153846154,0.0,0.3076923076923077,0.3076923076923077,0.0769230769230769,0.2307692307692307,0.2307692307692307,0.0769230769230769,0.1538461538461538,0.6153846153846154,0.0,0.3076923076923077,0.3076923076923077,0.1538461538461538,0.0769230769230769,0.5384615384615384,0.0769230769230769,0.3076923076923077,0.3076923076923077,0.1538461538461538,0.0,0.0,0.7692307692307693,0.2307692307692307,0.2307692307692307,0.3846153846153846,0.3846153846153846,0.0769230769230769,0.2307692307692307,0
peptide_nm_27,0.3076923076923077,0.2307692307692307,0.2307692307692307,0.3076923076923077,0.4615384615384615,0.0,0.3076923076923077,0.4615384615384615,0.0,0.1538461538461538,0.4615384615384615,0.0,0.0,0.4615384615384615,0.0,0.3846153846153846,0.3076923076923077,0.1538461538461538,0.3076923076923077,0.3076923076923077,0.1538461538461538,0.2307692307692307,0.3846153846153846,0.0769230769230769,0.2307692307692307,0.2307692307692307,0.3076923076923077,0.2307692307692307,0.3846153846153846,0.0769230769230769,0.3076923076923077,0.0,0.2307692307692307,0.1538461538461538,0.1538461538461538,0.4615384615384615,0.3076923076923077,0.3076923076923077,0.2307692307692307,0
peptide_nm_28,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.4117647058823529,0.1764705882352941,0.1176470588235294,0.3529411764705882,0.2352941176470588,0.0588235294117647,0.1764705882352941,0.4117647058823529,0.0588235294117647,0.5882352941176471,0.0,0.1176470588235294,0.2941176470588235,0.2941176470588235,0.1764705882352941,0.0588235294117647,0.2941176470588235,0.2941176470588235,0.2941176470588235,0.1764705882352941,0.1176470588235294,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2941176470588235,0.1764705882352941,0.1176470588235294,0.2352941176470588,0.0,0.1176470588235294,0.1176470588235294,0.5882352941176471,0.1176470588235294,0.3529411764705882,0.1764705882352941,0.1176470588235294,0
peptide_nm_29,0.2352941176470588,0.0588235294117647,0.1176470588235294,0.3529411764705882,0.2352941176470588,0.0588235294117647,0.2941176470588235,0.2941176470588235,0.0,0.2941176470588235,0.2352941176470588,0.0588235294117647,0.2352941176470588,0.0588235294117647,0.0588235294117647,0.2352941176470588,0.0588235294117647,0.1176470588235294,0.1176470588235294,0.1764705882352941,0.1176470588235294,0.2352941176470588,0.3529411764705882,0.1764705882352941,0.1764705882352941,0.1176470588235294,0.1764705882352941,0.2352941176470588,0.3529411764705882,0.1764705882352941,0.1764705882352941,0.2352941176470588,0.2352941176470588,0.1176470588235294,0.3529411764705882,0.1176470588235294,0.1176470588235294,0.0588235294117647,0.1764705882352941,0
peptide_nm_30,0.2666666666666666,0.0,0.2,0.2,0.2666666666666666,0.2,0.0666666666666666,0.4,0.0666666666666666,0.2,0.2,0.1333333333333333,0.2666666666666666,0.0666666666666666,0.0666666666666666,0.1333333333333333,0.0,0.2,0.2,0.0666666666666666,0.2666666666666666,0.2,0.4,0.0,0.2666666666666666,0.0666666666666666,0.2,0.2,0.2666666666666666,0.1333333333333333,0.1333333333333333,0.0,0.1333333333333333,0.2,0.1333333333333333,0.2,0.0,0.1333333333333333,0.2666666666666666,0
