,Moran_CIDH920105.lag1,Moran_CIDH920105.lag2,Moran_CIDH920105.lag3,Moran_BHAR880101.lag1,Moran_BHAR880101.lag2,Moran_BHAR880101.lag3,Moran_CHAM820101.lag1,Moran_CHAM820101.lag2,Moran_CHAM820101.lag3,Moran_CHAM820102.lag1,Moran_CHAM820102.lag2,Moran_CHAM820102.lag3,Moran_CHOC760101.lag1,Moran_CHOC760101.lag2,Moran_CHOC760101.lag3,Moran_BIGC670101.lag1,Moran_BIGC670101.lag2,Moran_BIGC670101.lag3,Moran_CHAM810101.lag1,Moran_CHAM810101.lag2,Moran_CHAM810101.lag3,Moran_DAYM780201.lag1,Moran_DAYM780201.lag2,Moran_DAYM780201.lag3,y
peptide_nm_21,-0.1163762398028366,0.2260586410186618,0.3256199465369371,-0.103461358803185,0.2943863145201489,0.2651992737430474,-0.4627092942480788,0.4648005807814488,-0.3634764010081635,-0.4013985396370133,0.4760385782252819,-0.2459873702461115,-0.4594114229073384,0.5156885531667633,-0.4156885531667634,-0.5286451914287403,0.5159325737495397,-0.368448647602498,-0.5048129781318537,0.4265545491241805,-0.3388198453860457,0.472040756219112,0.1277481692657211,-0.0370315636235304,0
peptide_nm_22,0.0908758387527705,-0.1004800424530384,-0.3287383848577732,0.2574344364481728,-0.2820153524269082,-0.2530237844729038,-0.1329921917416622,-0.2610748308948872,-0.2588140042152794,-0.1612941695236259,-0.6177205000134113,0.1537593959936058,-0.1343130353162032,-0.3534691595751288,-0.2238318373812038,-0.1045959203294261,-0.2469235651844117,-0.2560226669621097,-0.0074552599291072,-0.4249405728987461,-0.1074099289763241,0.3174500924722358,-0.1961941955298908,-0.2687694833952584,0
peptide_nm_23,-0.1969817796033383,0.4272021597366418,0.0432531362106053,0.0160217983457868,0.3148281002129239,-0.008029580123894,0.274611101813662,0.4972230593476812,0.1030679257243509,0.048496220254767,0.0420290203645673,0.1537061564501629,0.2346107852627982,0.4622821878025169,0.2019748305905131,0.2145808316124575,0.4712518332045728,0.1581060377902029,-0.1994070542245039,-0.030965475632498,0.3430158461062855,0.2504190285491641,0.0823536186783957,-0.0781314650301629,0
peptide_nm_24,-0.3713365627204508,-0.1945614692530879,0.1074117130877908,-0.5721514251292683,0.2888627401094009,-0.2965271593944791,-0.0122344118765284,0.1417865524037599,-0.3364197719694619,-0.0118826889930244,-0.0463523630765628,0.1625914726107426,0.0318490053511552,0.0865363268024643,-0.3619359493811399,-0.0621497564636178,-0.0055421004742601,-0.2465575418526397,-0.3468559837728195,-0.2009180474697715,0.0906583072100312,-0.1759890480726426,0.0873474245259988,-0.4073431524127268,0
peptide_nm_25,-0.4308299363827146,-0.7152970821018242,0.8347378945864877,-0.5472721200829612,-0.4805544814333088,0.9615864590290716,-0.6116650805768485,-0.4409643426093443,1.083821360969641,-0.6078686160375624,0.1223005431627893,0.5046790483502424,-0.5790978398983481,-0.4356204997882252,1.1124523506988564,-0.6177960298119852,-0.4420880840996815,1.149500168982017,-0.0295275590551179,-0.0262467191601052,-0.7381889763779528,-0.3160542126589353,-0.5847887848726189,0.1539401984071537,0
peptide_nm_26,-0.3299167793102102,0.0574755980059486,-0.194225557738262,-0.2430051221863158,-0.2958433855858689,-0.1318619590220265,-0.389511015536665,-0.3074022132253067,0.2570244694904005,0.0425433379729708,-0.5889314480440987,-0.2602884576818272,-0.3453996983408748,-0.449346405228758,0.4242424242424242,-0.396485916418361,-0.2871971246460328,0.2187580259359199,0.0174436081615359,-0.4365749872839827,0.2023386193619547,-0.1293488984975599,-0.4973601905253795,-0.0239101004014493,0
peptide_nm_27,-0.4076196693804637,-0.0914336768474297,-0.2324217960622186,-0.1314880851304691,0.2457058067837687,-0.5439437983533454,-0.3990282475850209,0.5691361190387809,-0.570489169077648,0.1357413904897116,0.0216993573079335,-0.0768318080733676,-0.3570547099958863,0.4788324420677361,-0.5717063684978123,-0.3995640763979941,0.5095372642437437,-0.632175015621192,0.0616844304068253,-0.1076612683352418,-0.5393156164953974,-0.3990325376334687,0.1335517303288989,0.1030591006685388,0
peptide_nm_28,0.0216224091364365,-0.3198788141721872,-0.244273752378463,-0.5011922826046089,0.1536564770454984,-0.1650718629238914,-0.3496195019243089,0.4147655152114778,-0.6254705972215667,-0.154779146008112,-0.464001105890143,-0.0956257999320649,-0.3670076726342712,0.445991847826087,-0.5774296675191818,-0.3017280960649035,0.3208632287813507,-0.6475806675914186,-0.202554077552693,-0.040776219167765,-0.3626435699491622,-0.4059598175534414,-0.0704856311887636,-0.1205276174773289,0
peptide_nm_29,-0.08007832995153,-0.0820794156736767,-0.092181741138899,0.1555416077409301,-0.1152467115336196,-0.3241496260709205,-0.3920332217134589,0.0457566888670005,0.0573859452095146,-0.0114115320918356,-0.2120342971214324,-0.3445375954048455,-0.2738135195005706,0.0207088675572263,-0.1408202993891387,-0.5287367919565736,0.1623077035776325,-0.0400664742621357,-0.3087725295385753,0.0143452994657419,-0.075654700534258,-0.3387539585111482,0.1786347355725302,-0.2779503673111362,0
peptide_nm_30,-0.0237051656318956,0.1918154211234265,-0.2745965025476559,0.3132262409161673,0.2163801950152238,-0.1444511689476279,0.1137212514261694,-0.2870635553807182,-0.3345659924654699,0.236633498604144,0.0837915792916551,-0.0562136093012507,0.1706064320317515,-0.2383620581834554,-0.2448581011004403,0.1033525806179399,-0.1887873968441237,-0.3025758302668465,0.0441637964026023,-0.0681756054890383,-0.0091554063999528,0.2040346518031025,-0.0733271295221466,-0.2977399874989023,0
