,Cougar__1,Cougar__2,Cougar__3,Cougar__4,Cougar__5,Cougar__6,Cougar__7,Cougar__8,Cougar__9,Cougar__10,Cougar__11,Cougar__12,Cougar__13,Cougar__14,Cougar__15,Cougar__16,Cougar__17,Cougar__18,Cougar__19,Cougar__20,Cougar__21,Cougar__22,Cougar__23,Cougar__24,Cougar__25,Cougar__26,Cougar__27,Cougar__28,Cougar__29,Cougar__30,y
peptide_nm_11,0.4115940769230768,0.3734386666666667,0.3742701818181819,0.4118235999999999,0.4027916666666666,-0.1432084615384615,-0.0658999999999999,-0.0168045454545454,0.0199779999999999,-0.0397644444444444,1.3882915384615384,1.3229091666666666,1.3949972727272728,1.427396,1.4308733333333334,0.6758923076923077,-0.3021666666666667,0.0723090909090908,-0.21034,0.0692666666666666,-0.3495461538461538,-0.0147916666666666,-0.2736545454545454,-0.29422,-0.3698777777777777,4.908053846153845,4.7978250000000005,4.828872727272727,4.93332,4.992188888888888,0
peptide_nm_12,0.4379792307692308,0.29500556,0.3018298749999999,0.2696630434782608,0.3066963181818182,-0.2905634615384614,0.084692,0.0191745833333333,0.0185652173913043,0.0058418181818181,1.353169615384615,1.3011639999999998,1.2285379166666666,1.2263043478260869,1.252086818181818,1.0423807692307692,-0.162328,-0.0470291666666666,-0.0957565217391304,-0.3236090909090909,-0.4129461538461538,-0.418332,-0.2008958333333333,-0.2062521739130435,-0.0847045454545454,5.328250000000001,5.096648000000001,5.047033333333335,5.0284260869565225,5.0355181818181824,0
peptide_nm_13,0.5599607931034483,0.4946577499999999,0.5004012592592593,0.4833183846153846,0.4959961200000001,-0.3386772413793104,-0.2587332142857143,-0.2896459259259259,-0.2731403846153846,-0.3051,1.6568127586206898,1.630114642857143,1.5521118518518515,1.645173461538462,1.6802216,1.0006137931034482,0.0834857142857142,0.1317407407407407,0.2498384615384615,0.154328,-0.9167655172413792,-0.7315999999999999,-0.8163666666666669,-0.9212192307692308,-0.913204,6.023424137931035,5.53350357142857,5.607625925925925,5.668930769230768,5.477656,0
peptide_nm_14,0.3615461052631578,0.2629714444444444,0.3027777647058823,0.318984375,0.2633342666666666,-0.1144205263157894,0.0977266666666666,-0.0369047058823529,-0.014261875,0.0185806666666666,1.1578947368421055,1.117321111111111,1.2634617647058823,1.202000625,1.209334666666667,0.7442789473684209,-0.245,-0.0452941176470588,-0.0073625,0.1838399999999999,-0.0087052631578946,0.3662222222222222,-0.1804705882352941,-0.1016624999999999,0.0440733333333333,4.876763157894738,4.51911111111111,4.5306411764705885,4.44770625,4.718633333333333,0
peptide_nm_15,0.5075646521739131,0.4278131363636364,0.404166,0.4200062499999999,0.4489473684210526,0.0425626086956521,0.1098972727272727,0.2188547619047619,0.2085815,0.1944157894736841,1.3225208695652173,1.2681422727272729,1.3151300000000004,1.2341755,1.2302126315789474,0.5514000000000002,0.2377818181818182,0.0345619047619047,-0.134655,-0.0138210526315789,0.1844260869565217,0.3401590909090908,0.5366238095238095,0.568075,0.6591,5.23204347826087,4.271827272727273,4.403171428571429,4.101545,4.399052631578948,0
peptide_nm_16,0.5088962631578946,0.4237067777777777,0.4415718823529411,0.4207751874999998,0.3968471999999999,-0.0949384210526315,0.0226983333333333,0.0204411764705882,0.00679,0.1138573333333333,1.5544736842105262,1.5456200000000002,1.5193482352941174,1.4785075,1.3430733333333331,0.6239263157894737,-0.0641777777777777,-0.0916117647058823,0.25311875,0.01904,-0.3290052631578948,0.2055166666666667,0.3908470588235295,-0.1790812499999998,0.3505333333333335,6.132268421052632,5.329938888888889,5.1079647058823525,5.369175000000001,4.7554066666666674,0
peptide_nm_17,0.4705223783783783,0.4072783424657533,0.3753811666666666,0.3565610281690141,0.3631997999999999,-0.0955320270270269,-0.0513071232876712,0.0010887499999999,0.0066628169014084,-0.0198268571428571,1.1426591891891884,1.1875934246575344,1.173490416666667,1.2235159154929582,1.1791522857142849,0.659406756756757,0.0818328767123287,-0.1719055555555555,-0.0098845070422535,0.0469857142857143,-0.10905,0.0427972602739726,0.0942555555555555,0.1491295774647887,0.0849699999999999,4.402635135135135,3.767519178082192,3.7747652777777776,3.833825352112677,3.8813,0
peptide_nm_18,0.4905844615384614,0.4057905,0.3799747272727272,0.3728528,0.385696,-0.1589199999999999,-0.0730725,0.0628709090909091,0.079605,0.1882088888888889,1.6436084615384614,1.5410933333333332,1.4219518181818185,1.4624689999999998,1.5450977777777777,0.5827230769230769,-0.0033166666666666,0.0325636363636363,0.1882,-0.3586666666666667,-0.3915384615384616,0.1140833333333333,0.0068090909090909,-0.13633,-0.1153777777777777,5.891438461538462,5.55715,5.400209090909091,5.441040000000001,5.395866666666667,0
peptide_nm_19,0.3568553157894736,0.2710154444444444,0.3208390588235294,0.2919505,0.3201676,-0.235835789473684,-0.0311233333333333,-0.0574547058823529,-0.1078425,-0.1944906666666667,1.0069684210526315,1.1643444444444444,1.0333011764705882,1.07891375,1.036144,1.202847368421052,0.1368777777777777,-0.0825176470588235,0.4424875,0.2378533333333332,-0.2074999999999998,-0.4437277777777776,-0.2214999999999999,-0.2002812499999999,-0.2331866666666666,4.676936842105265,4.237161111111111,4.320411764705883,4.094481249999999,4.148606666666667,0
peptide_nm_20,0.5116645263157894,0.4395771666666666,0.4721209411764705,0.407216125,0.4330092666666666,-0.3402936842105263,-0.1422399999999999,-0.2840105882352942,-0.0634437499999999,-0.236544,1.559182105263158,1.519912222222222,1.6462858823529414,1.49806375,1.4694366666666665,1.2932210526315786,-0.2126888888888888,0.3005411764705882,-0.5181,0.41344,-0.5895684210526315,-0.755611111111111,-0.8587411764705882,-0.3885874999999999,-0.8625866666666667,5.689310526315791,5.1064388888888885,5.212552941176472,5.425962500000001,5.34832,0
peptide_nm_21,0.3915208888888888,0.286220588235294,0.3396779374999999,0.32195,0.2705297857142857,0.1113516666666666,0.1798864705882353,0.206091875,0.1549806666666666,0.309885,1.2523394444444444,1.1968235294117648,1.29037875,1.299429333333333,1.3270728571428572,0.5115944444444446,0.1761882352941176,0.2013375,0.2341733333333333,0.2212357142857143,0.7399555555555555,0.7335941176470588,0.6585625000000002,0.6595399999999999,0.7011000000000001,4.821244444444445,4.66449411764706,4.6703125000000005,4.65686,4.700200000000001,0
peptide_nm_22,0.573867,0.5116458333333332,0.4731323529411765,0.4595086874999999,0.4897481333333333,0.1441531578947368,0.1496772222222222,0.2331564705882353,0.2881131249999999,0.3539686666666667,1.751544736842105,1.6797111111111112,1.6577917647058822,1.58541,1.5998586666666668,0.7624315789473683,0.0813555555555555,0.0516058823529412,-0.142725,-0.28176,0.6189368421052631,0.6788,0.714764705882353,0.9616125,0.95982,5.890621052631579,5.805416666666667,5.866605882352941,5.674675,5.808853333333333,0
peptide_nm_23,0.4556790555555555,0.3903439411764706,0.3996198125,0.4158666666666667,0.4021438571428572,-0.1711094444444444,-0.0599088235294117,-0.056150625,-0.0119646666666666,-0.0175142857142857,1.511871111111111,1.4532023529411762,1.43141375,1.4581213333333332,1.4486207142857144,0.64995,-0.2075647058823529,0.2024624999999999,-0.14558,0.0829714285714285,-0.2823555555555556,-0.0595647058823529,-0.16924375,-0.0252666666666666,-0.1470071428571428,5.540783333333333,5.439370588235294,5.47001875,5.574073333333334,5.514135714285714,0
peptide_nm_24,0.4319182777777777,0.2951323529411765,0.3805989374999999,0.3285166666666666,0.3552043571428572,-0.1146105555555555,0.2705394117647059,0.124534375,0.1642986666666666,0.25581,1.4071005555555558,1.2407423529411763,1.40562125,1.358878,1.3275021428571427,1.0397944444444445,-0.2387411764705883,0.02533125,0.1504266666666666,0.0275142857142857,0.0434111111111111,0.6211294117647059,0.2332375,0.4163133333333333,0.2254428571428571,5.190144444444445,4.794652941176471,4.958225,4.8679266666666665,5.033035714285714,0
peptide_nm_25,0.5898028,0.5480625,0.5849166666666666,0.5078125,0.4375,-0.5635000000000001,-0.4143,-0.79614,-0.32875,0.2275,1.354206,1.86776,1.72061,1.871875,1.7587499999999998,1.44192,0.3493,-0.3946666666666667,-0.0201999999999999,0.0312,-1.30408,-2.22405,-1.327333333333333,0.4490999999999999,0.2411999999999999,4.31472,4.137725,3.5168666666666666,2.3643499999999995,0.4422,0
peptide_nm_26,0.4703641428571428,0.3662884615384615,0.3383553333333333,0.3906123636363636,0.3497639,-0.2270485714285714,0.0125684615384615,-0.0503508333333333,0.04915,0.064439,1.6769235714285713,1.461263846153846,1.4285133333333333,1.5464609090909092,1.511634,0.8228357142857143,-0.1336307692307692,0.03445,-0.3151090909090909,-0.29378,-0.4900142857142858,-0.1476384615384614,-0.1019583333333333,-0.1866,-0.1121799999999999,6.558692857142856,6.249900000000001,6.098025,6.159245454545455,5.957929999999999,0
