,MSW__1,MSW__2,MSW__3,MSW__4,MSW__5,MSW__6,MSW__7,MSW__8,MSW__9,MSW__10,MSW__11,MSW__12,MSW__13,MSW__14,MSW__15,MSW__16,MSW__17,MSW__18,MSW__19,MSW__20,MSW__21,MSW__22,MSW__23,MSW__24,MSW__25,MSW__26,MSW__27,MSW__28,MSW__29,MSW__30,y
peptide_nm_13,0.3138172413793104,0.0659785714285714,0.0825222222222222,0.1266807692307692,0.0429359999999999,-0.1085620689655172,-0.0373607142857142,-0.0265592592592592,-0.0146,-0.0955999999999999,0.1195379310344827,0.188225,0.0681296296296296,0.0115576923076923,0.0596359999999999,0.4180965517241379,-0.0302857142857143,0.0764814814814814,0.0790192307692307,0.04108,-0.1534620689655172,-0.2016535714285714,-0.1380333333333333,-0.1502692307692308,-0.11566,0.5504689655172412,0.1382928571428571,0.2070555555555555,0.1795615384615385,0.1204959999999999,0
peptide_nm_14,0.3763631578947368,0.1884,0.2416823529411765,0.20469375,0.2723666666666667,-0.2689315789473684,-0.0991499999999999,-0.1365411764705882,-0.1439562499999999,-0.0320399999999999,0.2033842105263157,0.1905944444444444,0.2178941176470588,0.22088125,0.1837466666666666,0.3310578947368421,0.0468888888888888,0.1384,0.08673125,0.0118399999999999,-0.1266684210526315,-0.1463222222222222,-0.1129647058823529,-0.1160624999999999,-0.1160933333333333,0.3832736842105263,0.0994777777777777,0.1882941176470588,0.1178249999999999,0.2527466666666667,0
peptide_nm_15,0.3453695652173911,0.0805954545454545,0.0615809523809523,0.14771,0.1547947368421053,-0.078995652173913,-0.1659772727272727,-0.0466428571428571,-0.025835,-0.0071842105263157,0.1452347826086956,0.2455954545454545,0.1935571428571428,0.1882599999999999,0.1622368421052631,0.328495652173913,0.1084909090909089,0.0985523809523809,0.0809999999999999,0.0055210526315789,-0.1419826086956522,-0.1884363636363636,-0.2296857142857142,-0.1805249999999999,-0.2154157894736842,0.4902086956521738,0.3238772727272728,0.4096761904761903,0.3909,0.3763947368421052,0
peptide_nm_16,0.3633842105263157,0.0229,0.0186764705882353,0.03983125,-0.0667333333333333,-0.1977421052631578,-0.0742666666666666,-0.0134529411764705,-0.0856875,-0.0306133333333333,0.1093368421052632,0.0395333333333333,0.0998647058823529,0.0521375,0.0704733333333333,0.5052578947368421,-0.0480833333333333,0.0450294117647058,0.3042937499999999,-0.0789533333333333,-0.1047157894736842,-0.0860222222222222,-0.0374411764705882,-0.0965375,0.0167133333333333,0.3223105263157895,0.1849,0.197235294117647,0.1553875,0.17782,0
peptide_nm_17,0.4298716216216216,0.2004876712328767,0.1835722222222222,0.144656338028169,0.1787299999999999,-0.2207756756756757,-0.2410561643835616,-0.2040263888888888,-0.2127140845070421,-0.2081285714285713,0.2261081081081081,0.2006191780821917,0.1381486111111112,0.1865140845070422,0.1880671428571428,0.3749837837837836,0.2380493150684931,0.19545,0.1978859154929577,0.2416014285714286,-0.2722743243243243,-0.2214082191780822,-0.2002402777777777,-0.1803281690140845,-0.1920442857142857,0.453354054054054,0.2579164383561643,0.2146513888888888,0.244387323943662,0.2874042857142858,0
peptide_nm_18,0.3528307692307691,-0.1224,0.0811636363636363,0.1246599999999999,-0.1191333333333333,-0.1541999999999999,-0.0282083333333333,-0.0277818181818181,-0.18853,0.0655999999999999,0.1390384615384615,0.1048416666666666,0.0445727272727272,0.07048,0.1492666666666667,0.4671615384615384,-0.1546,0.0685272727272727,0.0303899999999999,-0.0724777777777777,-0.0021384615384615,-0.0794833333333333,-0.1368909090909091,-0.25683,-0.1046999999999999,0.3929384615384614,0.2888583333333334,0.2613636363636364,0.19276,0.1732888888888888,0
peptide_nm_19,0.4133157894736841,0.2362166666666666,0.2654647058823528,0.21605625,0.20622,-0.2856473684210526,-0.2047555555555555,-0.1902176470588235,-0.2365312499999999,-0.1721533333333333,0.155278947368421,0.1412222222222222,0.0555941176470588,0.1752375,0.1368399999999999,0.3666052631578947,0.2312833333333333,0.1744647058823529,0.2113749999999999,0.2026933333333332,-0.1712368421052631,-0.1048777777777777,-0.0379882352941176,-0.0073562499999999,-0.11976,0.3068684210526316,0.0747555555555555,0.115035294117647,0.0321874999999999,0.0818133333333333,0
peptide_nm_20,0.342757894736842,-0.0312777777777777,0.0989588235294117,0.0198624999999999,0.10192,-0.1678578947368421,0.0919222222222222,-0.1113117647058823,0.05036875,-0.1130066666666666,0.1192736842105263,-0.0352999999999999,0.0617235294117647,0.0740874999999999,0.1151133333333333,0.2781315789473685,-0.0352777777777777,0.102535294117647,-0.03674375,-0.0697,-0.0279263157894736,-0.0368722222222222,-0.0503647058823529,0.0292499999999999,-0.13384,0.3932526315789473,-0.1044777777777778,0.1872823529411764,-0.005575,0.09108,0
peptide_nm_21,0.40905,0.2686470588235293,0.31775625,0.3019866666666667,0.3441142857142857,-0.3362111111111111,-0.2595411764705883,-0.25839375,-0.2826066666666666,-0.2389357142857142,0.3246722222222223,0.3292705882352941,0.3129124999999999,0.2778466666666666,0.3034642857142857,0.3891444444444444,0.1843588235294117,0.2451499999999999,0.1636399999999999,0.2133714285714285,-0.2561388888888889,-0.2919705882352941,-0.20895,-0.23446,-0.2042142857142857,0.4580555555555556,0.3907,0.41151875,0.3809133333333332,0.3731642857142857,0
peptide_nm_22,0.3996631578947369,0.1468666666666666,0.1456588235294117,0.1893,0.1696666666666666,-0.1832842105263157,-0.0740499999999999,0.0034117647058823,-0.00905625,0.0686333333333333,0.2009263157894736,0.2648055555555555,0.224835294117647,0.223325,0.3864466666666666,0.408221052631579,0.0688777777777777,0.0539941176470588,-0.1152999999999999,-0.0727733333333333,-0.015878947368421,-0.1588666666666666,-0.1035058823529411,-0.15899375,-0.0944733333333333,0.4860315789473684,0.3527,0.3682941176470587,0.30579375,0.3641199999999999,0
