,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
peptide_nm_73,0.0555555555555555,0.1666666666666666,0.0555555555555555,0.0555555555555555,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.1111111111111111,0.1111111111111111,0.0555555555555555,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0
peptide_nm_74,0.0,0.0,0.1428571428571428,0.0714285714285714,0.0,0.0,0.0,0.0,0.0714285714285714,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0,0
peptide_nm_75,0.0,0.0,0.0909090909090909,0.0,0.0,0.1818181818181818,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0909090909090909,0
peptide_nm_76,0.0555555555555555,0.0,0.0,0.1111111111111111,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0,0.0555555555555555,0.0,0.0555555555555555,0.1111111111111111,0.1666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0555555555555555,0.0,0
peptide_nm_77,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0384615384615384,0.0,0.0384615384615384,0.0,0.0769230769230769,0.1538461538461538,0.0,0.1923076923076923,0.0,0.0384615384615384,0.0,0.0,0.0384615384615384,0.0384615384615384,0.0384615384615384,0.0384615384615384,0.0,0
peptide_nm_78,0.0952380952380952,0.0,0.0,0.0476190476190476,0.0476190476190476,0.0,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0,0.1904761904761904,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0,0.0,0.0,0.0476190476190476,0
peptide_nm_79,0.2580645161290322,0.0967741935483871,0.0,0.0,0.032258064516129,0.0,0.0967741935483871,0.064516129032258,0.0,0.0,0.064516129032258,0.1612903225806451,0.0,0.032258064516129,0.0,0.064516129032258,0.064516129032258,0.0,0.032258064516129,0.032258064516129,0
peptide_nm_80,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0555555555555555,0.0,0.0,0.2777777777777778,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0555555555555555,0.1666666666666666,0
peptide_nm_81,0.1052631578947368,0.0701754385964912,0.0701754385964912,0.0526315789473684,0.0,0.0,0.0701754385964912,0.0526315789473684,0.0350877192982456,0.1052631578947368,0.1052631578947368,0.0526315789473684,0.0,0.0350877192982456,0.0175438596491228,0.0526315789473684,0.087719298245614,0.0,0.0526315789473684,0.0350877192982456,0
peptide_nm_82,0.0689655172413793,0.0689655172413793,0.0344827586206896,0.0344827586206896,0.0,0.1034482758620689,0.0344827586206896,0.1034482758620689,0.0689655172413793,0.0,0.0689655172413793,0.0344827586206896,0.0,0.0689655172413793,0.1034482758620689,0.0344827586206896,0.0689655172413793,0.0,0.0689655172413793,0.0344827586206896,0
peptide_nm_83,0.1111111111111111,0.074074074074074,0.0,0.037037037037037,0.0,0.0,0.074074074074074,0.1481481481481481,0.037037037037037,0.0,0.037037037037037,0.037037037037037,0.037037037037037,0.037037037037037,0.0,0.074074074074074,0.074074074074074,0.0,0.037037037037037,0.1851851851851851,0
peptide_nm_84,0.1428571428571428,0.0476190476190476,0.0,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.0,0.0476190476190476,0.0,0.1428571428571428,0.0,0.0476190476190476,0.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0,0.0952380952380952,0
peptide_nm_85,0.0,0.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.0952380952380952,0.0476190476190476,0.0,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.0,0.0,0.0,0.0952380952380952,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.0476190476190476,0
peptide_nm_86,0.1379310344827586,0.0344827586206896,0.0344827586206896,0.0689655172413793,0.0344827586206896,0.0344827586206896,0.1379310344827586,0.0689655172413793,0.0,0.1034482758620689,0.0689655172413793,0.0344827586206896,0.0,0.0,0.0344827586206896,0.0689655172413793,0.0689655172413793,0.0,0.0,0.0689655172413793,0
peptide_nm_87,0.0,0.1515151515151515,0.0909090909090909,0.0303030303030303,0.0,0.0303030303030303,0.0606060606060606,0.1212121212121212,0.0,0.0606060606060606,0.0909090909090909,0.0606060606060606,0.0,0.0909090909090909,0.0606060606060606,0.0303030303030303,0.0303030303030303,0.0,0.0303030303030303,0.0606060606060606,0
peptide_nm_88,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.3076923076923077,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0
peptide_nm_89,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0833333333333333,0.3333333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0
peptide_nm_90,0.3076923076923077,0.0,0.0,0.0769230769230769,0.0,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.1538461538461538,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0
peptide_nm_91,0.1578947368421052,0.0526315789473684,0.0,0.1052631578947368,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0,0.1578947368421052,0.0,0.0,0.0,0.0526315789473684,0.1052631578947368,0.1578947368421052,0.0,0.0,0.1052631578947368,0
