,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
peptide_nm_53,0.0416666666666666,0.0416666666666666,0.0,0.0,0.0416666666666666,0.0,0.0833333333333333,0.0416666666666666,0.125,0.0416666666666666,0.125,0.0,0.0416666666666666,0.0833333333333333,0.0416666666666666,0.0833333333333333,0.0833333333333333,0.0,0.0416666666666666,0.0833333333333333,0
peptide_nm_54,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0
peptide_nm_55,0.1764705882352941,0.0,0.0,0.1176470588235294,0.0,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.1764705882352941,0.0,0.0,0.0588235294117647,0.1176470588235294,0.0588235294117647,0.1176470588235294,0.0,0.0,0.0588235294117647,0
peptide_nm_56,0.0689655172413793,0.0689655172413793,0.0,0.0689655172413793,0.0,0.0689655172413793,0.0689655172413793,0.1034482758620689,0.0,0.1034482758620689,0.0689655172413793,0.0,0.0,0.0689655172413793,0.0344827586206896,0.0689655172413793,0.0689655172413793,0.0344827586206896,0.0,0.1034482758620689,0
peptide_nm_57,0.0833333333333333,0.0,0.25,0.0833333333333333,0.0,0.0,0.0,0.1666666666666666,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0
peptide_nm_58,0.0384615384615384,0.0384615384615384,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0384615384615384,0.0769230769230769,0.0384615384615384,0.0,0.1153846153846153,0.1153846153846153,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.1538461538461538,0
peptide_nm_59,0.3333333333333333,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0555555555555555,0.1666666666666666,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0555555555555555,0.0555555555555555,0
peptide_nm_60,0.09375,0.03125,0.03125,0.09375,0.0625,0.0,0.03125,0.03125,0.0625,0.03125,0.15625,0.0625,0.03125,0.03125,0.03125,0.0625,0.03125,0.0,0.0,0.125,0
peptide_nm_61,0.125,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.2083333333333333,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0,0.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0,0.0,0.0833333333333333,0
peptide_nm_62,0.1818181818181818,0.0,0.0,0.0,0.0,0.1818181818181818,0.0909090909090909,0.0909090909090909,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0909090909090909,0
peptide_nm_63,0.1052631578947368,0.0526315789473684,0.0526315789473684,0.1052631578947368,0.0,0.0526315789473684,0.1052631578947368,0.0,0.0,0.0,0.1578947368421052,0.0526315789473684,0.0,0.0,0.0526315789473684,0.1052631578947368,0.1052631578947368,0.0526315789473684,0.0,0.0,0
peptide_nm_64,0.0,0.0,0.1153846153846153,0.0384615384615384,0.0,0.0,0.0384615384615384,0.0769230769230769,0.0384615384615384,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.0384615384615384,0.0769230769230769,0.0384615384615384,0.1153846153846153,0.0384615384615384,0.0384615384615384,0.0769230769230769,0.0,0
peptide_nm_65,0.0555555555555555,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0555555555555555,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.1111111111111111,0.0,0.0555555555555555,0.0,0.1111111111111111,0.0,0.0,0.0,0.1666666666666666,0
peptide_nm_66,0.0434782608695652,0.0434782608695652,0.1739130434782608,0.0869565217391304,0.1304347826086956,0.0,0.0,0.0434782608695652,0.0,0.1304347826086956,0.0,0.0869565217391304,0.0,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.0,0.0,0.0,0
peptide_nm_67,0.0476190476190476,0.1428571428571428,0.0,0.0952380952380952,0.0,0.0,0.238095238095238,0.0952380952380952,0.0,0.0476190476190476,0.0,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0,0.0,0.0476190476190476,0.0476190476190476,0.0,0
peptide_nm_68,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.0625,0.0625,0.0,0.0,0.1875,0.0625,0.0,0.125,0.0,0.0625,0.0,0.0625,0.1875,0
peptide_nm_69,0.2758620689655172,0.0689655172413793,0.0,0.0,0.0,0.0344827586206896,0.0,0.0689655172413793,0.0344827586206896,0.1379310344827586,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0689655172413793,0.0344827586206896,0.0689655172413793,0.0344827586206896,0.0344827586206896,0.0,0.0344827586206896,0
peptide_nm_70,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.0,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0833333333333333,0
peptide_nm_71,0.0909090909090909,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.3636363636363636,0.0,0.0,0.0909090909090909,0.0,0.1818181818181818,0.0909090909090909,0.0,0.0,0.0,0
peptide_nm_72,0.0555555555555555,0.0555555555555555,0.0,0.0555555555555555,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.1666666666666666,0.1111111111111111,0.0555555555555555,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0555555555555555,0
