,GAAC_alphatic,GAAC_aromatic,GAAC_postivecharge,GAAC_negativecharge,GAAC_uncharge,y
peptide_nm_102,0.3928571428571428,0.0714285714285714,0.1071428571428571,0.1071428571428571,0.3214285714285714,0
peptide_nm_103,0.5384615384615384,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.2307692307692307,0
peptide_nm_104,0.4347826086956521,0.1739130434782608,0.0869565217391304,0.0434782608695652,0.2608695652173913,0
peptide_nm_105,0.2307692307692307,0.0,0.2307692307692307,0.3846153846153846,0.1538461538461538,0
peptide_nm_106,0.3846153846153846,0.0769230769230769,0.3076923076923077,0.1538461538461538,0.0769230769230769,0
peptide_nm_107,0.4285714285714285,0.0,0.1428571428571428,0.0714285714285714,0.3571428571428571,0
peptide_nm_108,0.0952380952380952,0.238095238095238,0.1428571428571428,0.1428571428571428,0.3809523809523809,0
peptide_nm_109,0.3846153846153846,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.3076923076923077,0
peptide_nm_110,0.3888888888888889,0.2222222222222222,0.1111111111111111,0.0555555555555555,0.2222222222222222,0
peptide_nm_111,0.3333333333333333,0.0416666666666666,0.25,0.125,0.25,0
peptide_nm_112,0.4814814814814814,0.0,0.1481481481481481,0.1111111111111111,0.2592592592592592,0
peptide_nm_113,0.4166666666666667,0.0416666666666666,0.0833333333333333,0.125,0.3333333333333333,0
peptide_nm_114,0.3214285714285714,0.1071428571428571,0.25,0.1428571428571428,0.1785714285714285,0
peptide_nm_115,0.5263157894736842,0.1052631578947368,0.0526315789473684,0.0526315789473684,0.2631578947368421,0
peptide_nm_116,0.3846153846153846,0.0769230769230769,0.2307692307692307,0.0769230769230769,0.2307692307692307,0
peptide_nm_117,0.3571428571428571,0.0714285714285714,0.1428571428571428,0.2857142857142857,0.1428571428571428,0
peptide_nm_118,0.4545454545454545,0.0,0.2727272727272727,0.1818181818181818,0.0909090909090909,0
peptide_nm_119,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.4166666666666667,0
peptide_nm_120,0.2272727272727272,0.0909090909090909,0.2727272727272727,0.0909090909090909,0.3181818181818182,0
peptide_nm_121,0.3888888888888889,0.1666666666666666,0.0555555555555555,0.0555555555555555,0.3333333333333333,0
peptide_nm_122,0.3076923076923077,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.3076923076923077,0
peptide_nm_123,0.2352941176470588,0.1764705882352941,0.0588235294117647,0.1176470588235294,0.4117647058823529,0
peptide_nm_124,0.4166666666666667,0.0,0.25,0.0,0.3333333333333333,0
peptide_nm_125,0.5625,0.0625,0.1875,0.0625,0.125,0
peptide_nm_126,0.5454545454545454,0.0454545454545454,0.1363636363636363,0.0909090909090909,0.1818181818181818,0
peptide_nm_127,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.2727272727272727,0
peptide_nm_128,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.25,0.0833333333333333,0
peptide_nm_129,0.2142857142857142,0.0714285714285714,0.0,0.1428571428571428,0.5714285714285714,0
peptide_nm_130,0.2727272727272727,0.0,0.0,0.3636363636363636,0.3636363636363636,0
peptide_nm_131,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0
peptide_nm_132,0.4444444444444444,0.0,0.0555555555555555,0.0555555555555555,0.4444444444444444,0
peptide_nm_133,0.3529411764705882,0.0588235294117647,0.1176470588235294,0.1764705882352941,0.2941176470588235,0
peptide_nm_134,0.7272727272727273,0.1818181818181818,0.0,0.0,0.0909090909090909,0
peptide_nm_135,0.3684210526315789,0.1578947368421052,0.0526315789473684,0.2631578947368421,0.1578947368421052,0
peptide_nm_136,0.4285714285714285,0.1428571428571428,0.1428571428571428,0.2142857142857142,0.0714285714285714,0
peptide_nm_137,0.3703703703703703,0.074074074074074,0.1481481481481481,0.1111111111111111,0.2962962962962963,0
peptide_nm_138,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.3076923076923077,0.4615384615384615,0
peptide_nm_139,0.4259259259259259,0.074074074074074,0.1481481481481481,0.1111111111111111,0.2407407407407407,0
peptide_nm_140,0.4117647058823529,0.0588235294117647,0.1764705882352941,0.0588235294117647,0.2941176470588235,0
peptide_nm_141,0.7391304347826086,0.0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0
peptide_nm_142,0.3846153846153846,0.0,0.0769230769230769,0.0769230769230769,0.4615384615384615,0
peptide_nm_143,0.375,0.0625,0.3125,0.1875,0.0625,0
peptide_nm_144,0.5,0.0833333333333333,0.0,0.0,0.4166666666666667,0
peptide_nm_145,0.3793103448275862,0.0344827586206896,0.0689655172413793,0.2413793103448276,0.2758620689655172,0
peptide_nm_146,0.5,0.0,0.0,0.3571428571428571,0.1428571428571428,0
peptide_nm_147,0.4117647058823529,0.1176470588235294,0.1176470588235294,0.0,0.3529411764705882,0
peptide_nm_148,0.375,0.1875,0.0625,0.1875,0.1875,0
peptide_nm_149,0.5,0.0384615384615384,0.1923076923076923,0.1153846153846153,0.1538461538461538,0
